older,female,trip_distcat_km,trip_pcycle,trip_cyclespeed_kmhr
0,0,0,.0808421,14.16371
0,0,2,.3054972,14.16371
0,0,5,.3119046,14.16371
0,0,8,.2371681,14.16371
0,0,13,.1534042,14.16371
0,0,20,.1038961,14.16371
0,0,30,0,14.16371
0,1,0,.1036929,11.8138
0,1,2,.2582489,11.8138
0,1,5,.2216239,11.8138
0,1,8,.1465817,11.8138
0,1,13,.0575844,11.8138
0,1,20,.0355603,11.8138
0,1,30,0,11.8138
1,0,0,.1691298,13.28898
1,0,2,.2769867,13.28898
1,0,5,.2063214,13.28898
1,0,8,.1709545,13.28898
1,0,13,.1619119,13.28898
1,0,20,.1238932,13.28898
1,0,30,0,13.28898
1,1,0,.1887869,10.59523
1,1,2,.2579064,10.59523
1,1,5,.1770723,10.59523
1,1,8,.0852156,10.59523
1,1,13,.0592187,10.59523
1,1,20,.0222998,10.59523
1,1,30,0,10.59523
