age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_lc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
0,female,0,1e-8,0,0,6598,lc,0,10,0,0,0,5
1,female,0,1e-8,0,0,6598,lc,0,10,0,0,0,5
2,female,0,1e-8,0,0,6598,lc,0,10,0,0,0,5
3,female,0,1e-8,0,0,6598,lc,0,10,0,0,0,5
4,female,0,1e-8,0,0,6598,lc,0,10,0,0,0,5
5,female,0,6.471470036822365e-7,1.727967406460095e-7,1.368093648376406e-7,6603,lc,0,10,5,0,0,5
6,female,0,6.471470036822365e-7,1.727967406460095e-7,1.368093648376406e-7,6603,lc,0,10,5,0,0,5
7,female,0,6.471470036822365e-7,1.727967406460095e-7,1.368093648376406e-7,6603,lc,0,10,5,0,0,5
8,female,0,6.471470036822365e-7,1.727967406460095e-7,1.368093648376406e-7,6603,lc,0,10,5,0,0,5
9,female,0,6.471470036822365e-7,1.727967406460095e-7,1.368093648376406e-7,6603,lc,0,10,5,0,0,5
10,female,0,1.1357331271810927e-6,3.0544999801841827e-7,2.4404523947777974e-7,6051,lc,0,50,10,0,0,5
11,female,0,1.1357331271810927e-6,3.0544999801841827e-7,2.4404523947777974e-7,6051,lc,0,50,10,0,0,5
12,female,0,1.1357331271810927e-6,3.0544999801841827e-7,2.4404523947777974e-7,6051,lc,0,50,10,0,0,5
13,female,0,1.1357331271810927e-6,3.0544999801841827e-7,2.4404523947777974e-7,6051,lc,0,50,10,0,0,5
14,female,0,1.1357331271810927e-6,3.0544999801841827e-7,2.4404523947777974e-7,6051,lc,0,50,10,0,0,5
15,female,0,4.635833384627752e-6,1.0481770255193601e-6,1.001723851617391e-6,6338,lc,0,50,15,0,0,5
16,female,0,4.635833384627752e-6,1.0481770255193601e-6,1.001723851617391e-6,6338,lc,0,50,15,0,0,5
17,female,0,4.635833384627752e-6,1.0481770255193601e-6,1.001723851617391e-6,6338,lc,0,50,15,0,0,5
18,female,0,4.635833384627752e-6,1.0481770255193601e-6,1.001723851617391e-6,6338,lc,0,50,15,0,0,5
19,female,0,4.635833384627752e-6,1.0481770255193601e-6,1.001723851617391e-6,6338,lc,0,50,15,0,0,5
20,female,0,4.249226006804284e-6,8.633837707517506e-7,9.107273766141059e-7,7828,lc,0,50,20,0,0,5
21,female,0,4.249226006804284e-6,8.633837707517506e-7,9.107273766141059e-7,7828,lc,0,50,20,0,0,5
22,female,0,4.249226006804284e-6,8.633837707517506e-7,9.107273766141059e-7,7828,lc,0,50,20,0,0,5
23,female,0,4.249226006804284e-6,8.633837707517506e-7,9.107273766141059e-7,7828,lc,0,50,20,0,0,5
24,female,0,4.249226006804284e-6,8.633837707517506e-7,9.107273766141059e-7,7828,lc,0,50,20,0,0,5
25,female,0,4.088017437070613e-6,1.384906215513599e-6,1.1243261688289833e-6,8833,lc,0,50,25,0,0,5
26,female,0,4.088017437070613e-6,1.384906215513599e-6,1.1243261688289833e-6,8833,lc,0,50,25,0,0,5
27,female,0,4.088017437070613e-6,1.384906215513599e-6,1.1243261688289833e-6,8833,lc,0,50,25,0,0,5
28,female,0,4.088017437070613e-6,1.384906215513599e-6,1.1243261688289833e-6,8833,lc,0,50,25,0,0,5
29,female,0,4.088017437070613e-6,1.384906215513599e-6,1.1243261688289833e-6,8833,lc,0,50,25,0,0,5
30,female,0,5.583937323351639e-6,1.7558169884892123e-6,1.5886230600406209e-6,7963,lc,0,50,30,0,0,5
31,female,0,5.583937323351639e-6,1.7558169884892123e-6,1.5886230600406209e-6,7963,lc,0,50,30,0,0,5
32,female,0,5.583937323351639e-6,1.7558169884892123e-6,1.5886230600406209e-6,7963,lc,0,50,30,0,0,5
33,female,0,5.583937323351639e-6,1.7558169884892123e-6,1.5886230600406209e-6,7963,lc,0,50,30,0,0,5
34,female,0,5.583937323351639e-6,1.7558169884892123e-6,1.5886230600406209e-6,7963,lc,0,50,30,0,0,5
35,female,0,7.944536539013799e-6,3.424561083334743e-6,2.4001736834762526e-6,7482,lc,0,50,35,0,0,5
36,female,0,7.944536539013799e-6,3.424561083334743e-6,2.4001736834762526e-6,7482,lc,0,50,35,0,0,5
37,female,0,7.944536539013799e-6,3.424561083334743e-6,2.4001736834762526e-6,7482,lc,0,50,35,0,0,5
38,female,0,7.944536539013799e-6,3.424561083334743e-6,2.4001736834762526e-6,7482,lc,0,50,35,0,0,5
39,female,0,7.944536539013799e-6,3.424561083334743e-6,2.4001736834762526e-6,7482,lc,0,50,35,0,0,5
40,female,0,1.1631273140584824e-5,5.4770478452897124e-6,3.5161282707407235e-6,6901,lc,0,50,40,0,0,5
41,female,0,1.1631273140584824e-5,5.4770478452897124e-6,3.5161282707407235e-6,6901,lc,0,50,40,0,0,5
42,female,0,1.1631273140584824e-5,5.4770478452897124e-6,3.5161282707407235e-6,6901,lc,0,50,40,0,0,5
43,female,0,1.1631273140584824e-5,5.4770478452897124e-6,3.5161282707407235e-6,6901,lc,0,50,40,0,0,5
44,female,0,1.1631273140584824e-5,5.4770478452897124e-6,3.5161282707407235e-6,6901,lc,0,50,40,0,0,5
45,female,0,1.8866150110704515e-5,1.1238461343760286e-5,5.4413861895986e-6,7531,lc,0,50,45,0,0,5
46,female,0,1.8866150110704515e-5,1.1238461343760286e-5,5.4413861895986e-6,7531,lc,0,50,45,0,0,5
47,female,0,1.8866150110704515e-5,1.1238461343760286e-5,5.4413861895986e-6,7531,lc,0,50,45,0,0,5
48,female,0,1.8866150110704515e-5,1.1238461343760286e-5,5.4413861895986e-6,7531,lc,0,50,45,0,0,5
49,female,0,1.8866150110704515e-5,1.1238461343760286e-5,5.4413861895986e-6,7531,lc,0,50,45,0,0,5
50,female,0,3.6381528515414934e-5,2.2690856560415927e-5,1.0356769622334955e-5,7629,lc,0,50,50,0,0,5
51,female,0,3.6381528515414934e-5,2.2690856560415927e-5,1.0356769622334955e-5,7629,lc,0,50,50,0,0,5
52,female,0,3.6381528515414934e-5,2.2690856560415927e-5,1.0356769622334955e-5,7629,lc,0,50,50,0,0,5
53,female,0,3.6381528515414934e-5,2.2690856560415927e-5,1.0356769622334955e-5,7629,lc,0,50,50,0,0,5
