age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_tblc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
0,female,0,1e-8,0,0,6598,tblc,0,10,0,0,0,5
1,female,0,1e-8,0,0,6598,tblc,0,10,0,0,0,5
2,female,0,1e-8,0,0,6598,tblc,0,10,0,0,0,5
3,female,0,1e-8,0,0,6598,tblc,0,10,0,0,0,5
4,female,0,1e-8,0,0,6598,tblc,0,10,0,0,0,5
5,female,0,1e-8,0,0,6603,tblc,0,10,5,0,0,5
6,female,0,1e-8,0,0,6603,tblc,0,10,5,0,0,5
7,female,0,1e-8,0,0,6603,tblc,0,10,5,0,0,5
8,female,0,1e-8,0,0,6603,tblc,0,10,5,0,0,5
9,female,0,1e-8,0,0,6603,tblc,0,10,5,0,0,5
10,female,0,1e-8,0,0,6051,tblc,0,50,10,0,0,5
11,female,0,1e-8,0,0,6051,tblc,0,50,10,0,0,5
12,female,0,1e-8,0,0,6051,tblc,0,50,10,0,0,5
13,female,0,1e-8,0,0,6051,tblc,0,50,10,0,0,5
14,female,0,1e-8,0,0,6051,tblc,0,50,10,0,0,5
15,female,9.629885153696647e-7,5.674358112299166e-7,3.697814017831654e-7,1.6200288423516922e-7,6338,tblc,0,50,15,0,0,5
16,female,9.629885153696647e-7,5.674358112299166e-7,3.697814017831654e-7,1.6200288423516922e-7,6338,tblc,0,50,15,0,0,5
17,female,9.629885153696647e-7,5.674358112299166e-7,3.697814017831654e-7,1.6200288423516922e-7,6338,tblc,0,50,15,0,0,5
18,female,9.629885153696647e-7,5.674358112299166e-7,3.697814017831654e-7,1.6200288423516922e-7,6338,tblc,0,50,15,0,0,5
19,female,9.629885153696647e-7,5.674358112299166e-7,3.697814017831654e-7,1.6200288423516922e-7,6338,tblc,0,50,15,0,0,5
20,female,1.8031178045189514e-6,9.64362883351298e-7,5.347569143310079e-7,2.8349593747229196e-7,7828,tblc,0,50,20,0,0,5
21,female,1.8031178045189514e-6,9.64362883351298e-7,5.347569143310079e-7,2.8349593747229196e-7,7828,tblc,0,50,20,0,0,5
22,female,1.8031178045189514e-6,9.64362883351298e-7,5.347569143310079e-7,2.8349593747229196e-7,7828,tblc,0,50,20,0,0,5
23,female,1.8031178045189514e-6,9.64362883351298e-7,5.347569143310079e-7,2.8349593747229196e-7,7828,tblc,0,50,20,0,0,5
24,female,1.8031178045189514e-6,9.64362883351298e-7,5.347569143310079e-7,2.8349593747229196e-7,7828,tblc,0,50,20,0,0,5
25,female,6.012591937280678e-6,2.533482089697864e-6,1.2180344994778512e-6,8.068137405339773e-7,8833,tblc,0,50,25,0,0,5
26,female,6.012591937280678e-6,2.533482089697864e-6,1.2180344994778512e-6,8.068137405339773e-7,8833,tblc,0,50,25,0,0,5
27,female,6.012591937280678e-6,2.533482089697864e-6,1.2180344994778512e-6,8.068137405339773e-7,8833,tblc,0,50,25,0,0,5
28,female,6.012591937280678e-6,2.533482089697864e-6,1.2180344994778512e-6,8.068137405339773e-7,8833,tblc,0,50,25,0,0,5
29,female,6.012591937280678e-6,2.533482089697864e-6,1.2180344994778512e-6,8.068137405339773e-7,8833,tblc,0,50,25,0,0,5
30,female,1.574135485028481e-5,7.390122378335049e-6,3.940033220248147e-6,2.2668901919868374e-6,7963,tblc,0,50,30,0,0,5
31,female,1.574135485028481e-5,7.390122378335049e-6,3.940033220248147e-6,2.2668901919868374e-6,7963,tblc,0,50,30,0,0,5
32,female,1.574135485028481e-5,7.390122378335049e-6,3.940033220248147e-6,2.2668901919868374e-6,7963,tblc,0,50,30,0,0,5
33,female,1.574135485028481e-5,7.390122378335049e-6,3.940033220248147e-6,2.2668901919868374e-6,7963,tblc,0,50,30,0,0,5
34,female,1.574135485028481e-5,7.390122378335049e-6,3.940033220248147e-6,2.2668901919868374e-6,7963,tblc,0,50,30,0,0,5
35,female,3.7148445098212794e-5,1.780136193076075e-5,1.0847021981921796e-5,5.422562921434741e-6,7482,tblc,0,50,35,0,0,5
36,female,3.7148445098212794e-5,1.780136193076075e-5,1.0847021981921796e-5,5.422562921434741e-6,7482,tblc,0,50,35,0,0,5
37,female,3.7148445098212794e-5,1.780136193076075e-5,1.0847021981921796e-5,5.422562921434741e-6,7482,tblc,0,50,35,0,0,5
38,female,3.7148445098212794e-5,1.780136193076075e-5,1.0847021981921796e-5,5.422562921434741e-6,7482,tblc,0,50,35,0,0,5
39,female,3.7148445098212794e-5,1.780136193076075e-5,1.0847021981921796e-5,5.422562921434741e-6,7482,tblc,0,50,35,0,0,5
40,female,9.107599460261777e-5,4.419566140111716e-5,3.0407203817404278e-5,1.3392967928330304e-5,6901,tblc,0,50,40,0,0,5
41,female,9.107599460261777e-5,4.419566140111716e-5,3.0407203817404278e-5,1.3392967928330304e-5,6901,tblc,0,50,40,0,0,5
42,female,9.107599460261777e-5,4.419566140111716e-5,3.0407203817404278e-5,1.3392967928330304e-5,6901,tblc,0,50,40,0,0,5
43,female,9.107599460261777e-5,4.419566140111716e-5,3.0407203817404278e-5,1.3392967928330304e-5,6901,tblc,0,50,40,0,0,5
44,female,9.107599460261777e-5,4.419566140111716e-5,3.0407203817404278e-5,1.3392967928330304e-5,6901,tblc,0,50,40,0,0,5
