age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_tblc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
0,male,0,1e-8,0,0,6980,tblc,0,10,0,0,0,5
1,male,0,1e-8,0,0,6980,tblc,0,10,0,0,0,5
2,male,0,1e-8,0,0,6980,tblc,0,10,0,0,0,5
3,male,0,1e-8,0,0,6980,tblc,0,10,0,0,0,5
4,male,0,1e-8,0,0,6980,tblc,0,10,0,0,0,5
5,male,0,1e-8,0,0,6917,tblc,0,10,5,0,0,5
6,male,0,1e-8,0,0,6917,tblc,0,10,5,0,0,5
7,male,0,1e-8,0,0,6917,tblc,0,10,5,0,0,5
8,male,0,1e-8,0,0,6917,tblc,0,10,5,0,0,5
9,male,0,1e-8,0,0,6917,tblc,0,10,5,0,0,5
10,male,0,1e-8,0,0,6234,tblc,0,50,10,0,0,5
11,male,0,1e-8,0,0,6234,tblc,0,50,10,0,0,5
12,male,0,1e-8,0,0,6234,tblc,0,50,10,0,0,5
13,male,0,1e-8,0,0,6234,tblc,0,50,10,0,0,5
14,male,0,1e-8,0,0,6234,tblc,0,50,10,0,0,5
15,male,2.0765596378571318e-7,1.4863547478903412e-7,1.0459811182819928e-7,4.034724560384098e-8,6436,tblc,0,50,15,0,0,5
16,male,2.0765596378571318e-7,1.4863547478903412e-7,1.0459811182819928e-7,4.034724560384098e-8,6436,tblc,0,50,15,0,0,5
17,male,2.0765596378571318e-7,1.4863547478903412e-7,1.0459811182819928e-7,4.034724560384098e-8,6436,tblc,0,50,15,0,0,5
18,male,2.0765596378571318e-7,1.4863547478903412e-7,1.0459811182819928e-7,4.034724560384098e-8,6436,tblc,0,50,15,0,0,5
19,male,2.0765596378571318e-7,1.4863547478903412e-7,1.0459811182819928e-7,4.034724560384098e-8,6436,tblc,0,50,15,0,0,5
20,male,1.2716822979190274e-6,6.940585632292761e-7,4.1757259812830675e-7,2.0357556519390904e-7,7845,tblc,0,50,20,0,0,5
21,male,1.2716822979190274e-6,6.940585632292761e-7,4.1757259812830675e-7,2.0357556519390904e-7,7845,tblc,0,50,20,0,0,5
22,male,1.2716822979190274e-6,6.940585632292761e-7,4.1757259812830675e-7,2.0357556519390904e-7,7845,tblc,0,50,20,0,0,5
23,male,1.2716822979190274e-6,6.940585632292761e-7,4.1757259812830675e-7,2.0357556519390904e-7,7845,tblc,0,50,20,0,0,5
24,male,1.2716822979190274e-6,6.940585632292761e-7,4.1757259812830675e-7,2.0357556519390904e-7,7845,tblc,0,50,20,0,0,5
25,male,3.9277255859152086e-6,1.900892157649545e-6,9.958492686133229e-7,5.80809060220511e-7,9023,tblc,0,50,25,0,0,5
26,male,3.9277255859152086e-6,1.900892157649545e-6,9.958492686133229e-7,5.80809060220511e-7,9023,tblc,0,50,25,0,0,5
27,male,3.9277255859152086e-6,1.900892157649545e-6,9.958492686133229e-7,5.80809060220511e-7,9023,tblc,0,50,25,0,0,5
28,male,3.9277255859152086e-6,1.900892157649545e-6,9.958492686133229e-7,5.80809060220511e-7,9023,tblc,0,50,25,0,0,5
29,male,3.9277255859152086e-6,1.900892157649545e-6,9.958492686133229e-7,5.80809060220511e-7,9023,tblc,0,50,25,0,0,5
30,male,1.043079013794491e-5,5.8412665223618726e-6,3.397940077501783e-6,1.7027983067329656e-6,8448,tblc,0,50,30,0,0,5
31,male,1.043079013794491e-5,5.8412665223618726e-6,3.397940077501783e-6,1.7027983067329656e-6,8448,tblc,0,50,30,0,0,5
32,male,1.043079013794491e-5,5.8412665223618726e-6,3.397940077501783e-6,1.7027983067329656e-6,8448,tblc,0,50,30,0,0,5
33,male,1.043079013794491e-5,5.8412665223618726e-6,3.397940077501783e-6,1.7027983067329656e-6,8448,tblc,0,50,30,0,0,5
34,male,1.043079013794491e-5,5.8412665223618726e-6,3.397940077501783e-6,1.7027983067329656e-6,8448,tblc,0,50,30,0,0,5
35,male,2.8289745686389094e-5,1.607655643802994e-5,1.0600760642912214e-5,4.66325176933257e-6,7997,tblc,0,50,35,0,0,5
36,male,2.8289745686389094e-5,1.607655643802994e-5,1.0600760642912214e-5,4.66325176933257e-6,7997,tblc,0,50,35,0,0,5
37,male,2.8289745686389094e-5,1.607655643802994e-5,1.0600760642912214e-5,4.66325176933257e-6,7997,tblc,0,50,35,0,0,5
38,male,2.8289745686389094e-5,1.607655643802994e-5,1.0600760642912214e-5,4.66325176933257e-6,7997,tblc,0,50,35,0,0,5
39,male,2.8289745686389094e-5,1.607655643802994e-5,1.0600760642912214e-5,4.66325176933257e-6,7997,tblc,0,50,35,0,0,5
40,male,9.218663889821336e-5,5.294250699154418e-5,3.932704538702016e-5,1.5314954246174486e-5,7179,tblc,0,50,40,0,0,5
41,male,9.218663889821336e-5,5.294250699154418e-5,3.932704538702016e-5,1.5314954246174486e-5,7179,tblc,0,50,40,0,0,5
42,male,9.218663889821336e-5,5.294250699154418e-5,3.932704538702016e-5,1.5314954246174486e-5,7179,tblc,0,50,40,0,0,5
43,male,9.218663889821336e-5,5.294250699154418e-5,3.932704538702016e-5,1.5314954246174486e-5,7179,tblc,0,50,40,0,0,5
44,male,9.218663889821336e-5,5.294250699154418e-5,3.932704538702016e-5,1.5314954246174486e-5,7179,tblc,0,50,40,0,0,5
45,male,1.9430738640736347e-4,1.2251295802362007e-4,9.81379167929429e-5,3.431019384653151e-5,7628,tblc,0,50,45,0,1,5
46,male,1.9430738640736347e-4,1.2251295802362007e-4,9.81379167929429e-5,3.431019384653151e-5,7628,tblc,0,50,45,0,1,5
47,male,1.9430738640736347e-4,1.2251295802362007e-4,9.81379167929429e-5,3.431019384653151e-5,7628,tblc,0,50,45,0,1,5
48,male,1.9430738640736347e-4,1.2251295802362007e-4,9.81379167929429e-5,3.431019384653151e-5,7628,tblc,0,50,45,0,1,5
49,male,1.9430738640736347e-4,1.2251295802362007e-4,9.81379167929429e-5,3.431019384653151e-5,7628,tblc,0,50,45,0,1,5
50,male,5.224786032196487e-4,2.923504921378249e-4,2.2603370072519388e-4,8.201054037755684e-5,7605,tblc,0,50,50,0,2,5
51,male,5.224786032196487e-4,2.923504921378249e-4,2.2603370072519388e-4,8.201054037755684e-5,7605,tblc,0,50,50,0,2,5
52,male,5.224786032196487e-4,2.923504921378249e-4,2.2603370072519388e-4,8.201054037755684e-5,7605,tblc,0,50,50,0,2,5
53,male,5.224786032196487e-4,2.923504921378249e-4,2.2603370072519388e-4,8.201054037755684e-5,7605,tblc,0,50,50,0,2,5
54,male,5.224786032196487e-4,2.923504921378249e-4,2.2603370072519388e-4,8.201054037755684e-5,7605,tblc,0,50,50,0,2,5
55,male,0.001410350871446992,6.414078592788222e-4,4.5885274385102097e-4,1.866779729333151e-4,6479,tblc,0,50,55,0,3,5
56,male,0.001410350871446992,6.414078592788222e-4,4.5885274385102097e-4,1.866779729333151e-4,6479,tblc,0,50,55,0,3,5
57,male,0.001410350871446992,6.414078592788222e-4,4.5885274385102097e-4,1.866779729333151e-4,6479,tblc,0,50,55,0,3,5
58,male,0.001410350871446992,6.414078592788222e-4,4.5885274385102097e-4,1.866779729333151e-4,6479,tblc,0,50,55,0,3,5
59,male,0.001410350871446992,6.414078592788222e-4,4.5885274385102097e-4,1.866779729333151e-4,6479,tblc,0,50,55,0,3,5
60,male,0.0034580221440950933,0.0013952876451302,9.668589645445202e-4,4.126406374641423e-4,5560,tblc,0,50,60,0,5,5
61,male,0.0034580221440950933,0.0013952876451302,9.668589645445202e-4,4.126406374641423e-4,5560,tblc,0,50,60,0,5,5
62,male,0.0034580221440950933,0.0013952876451302,9.668589645445202e-4,4.126406374641423e-4,5560,tblc,0,50,60,0,5,5
63,male,0.0034580221440950933,0.0013952876451302,9.668589645445202e-4,4.126406374641423e-4,5560,tblc,0,50,60,0,5,5
64,male,0.0034580221440950933,0.0013952876451302,9.668589645445202e-4,4.126406374641423e-4,5560,tblc,0,50,60,0,5,5
65,male,0.005325300331709434,0.002156229113235284,0.0015040545216368358,6.23644866915572e-4,5418,tblc,0,50,65,0,8,5
66,male,0.005325300331709434,0.002156229113235284,0.0015040545216368358,6.23644866915572e-4,5418,tblc,0,50,65,0,8,5
67,male,0.005325300331709434,0.002156229113235284,0.0015040545216368358,6.23644866915572e-4,5418,tblc,0,50,65,0,8,5
68,male,0.005325300331709434,0.002156229113235284,0.0015040545216368358,6.23644866915572e-4,5418,tblc,0,50,65,0,8,5
69,male,0.005325300331709434,0.002156229113235284,0.0015040545216368358,6.23644866915572e-4,5418,tblc,0,50,65,0,8,5
70,male,0.006638707235449151,0.0029209000849826157,0.0021289350234067407,8.062711267839683e-4,4800,tblc,0,50,70,0,10,5
71,male,0.006638707235449151,0.0029209000849826157,0.0021289350234067407,8.062711267839683e-4,4800,tblc,0,50,70,0,10,5
72,male,0.006638707235449151,0.0029209000849826157,0.0021289350234067407,8.062711267839683e-4,4800,tblc,0,50,70,0,10,5
73,male,0.006638707235449151,0.0029209000849826157,0.0021289350234067407,8.062711267839683e-4,4800,tblc,0,50,70,0,10,5
74,male,0.006638707235449151,0.0029209000849826157,0.0021289350234067407,8.062711267839683e-4,4800,tblc,0,50,70,0,10,5
75,male,0.008035583704461216,0.004004364706819101,0.002998325280266487,0.0010442414676065511,3332,tblc,0,50,75,0,10,5
76,male,0.008035583704461216,0.004004364706819101,0.002998325280266487,0.0010442414676065511,3332,tblc,0,50,75,0,10,5
77,male,0.008035583704461216,0.004004364706819101,0.002998325280266487,0.0010442414676065511,3332,tblc,0,50,75,0,10,5
78,male,0.008035583704461216,0.004004364706819101,0.002998325280266487,0.0010442414676065511,3332,tblc,0,50,75,0,10,5
79,male,0.008035583704461216,0.004004364706819101,0.002998325280266487,0.0010442414676065511,3332,tblc,0,50,75,0,10,5
80,male,0.007601822744500167,0.004665142396596614,0.003938148683766888,0.0011110107506882127,2291,tblc,0,20,80,0,9,5
81,male,0.007601822744500167,0.004665142396596614,0.003938148683766888,0.0011110107506882127,2291,tblc,0,20,80,0,9,5
82,male,0.007601822744500167,0.004665142396596614,0.003938148683766888,0.0011110107506882127,2291,tblc,0,20,80,0,9,5
83,male,0.007601822744500167,0.004665142396596614,0.003938148683766888,0.0011110107506882127,2291,tblc,0,20,80,0,9,5
84,male,0.007601822744500167,0.004665142396596614,0.003938148683766888,0.0011110107506882127,2291,tblc,0,20,80,0,9,5
85,male,0.009729069684531185,0.006710217046057306,0.0056592990936067756,0.0015187580676199863,1276,tblc,0,20,85,0,7,5
86,male,0.009729069684531185,0.006710217046057306,0.0056592990936067756,0.0015187580676199863,1276,tblc,0,20,85,0,7,5
87,male,0.009729069684531185,0.006710217046057306,0.0056592990936067756,0.0015187580676199863,1276,tblc,0,20,85,0,7,5
88,male,0.009729069684531185,0.006710217046057306,0.0056592990936067756,0.0015187580676199863,1276,tblc,0,20,85,0,7,5
89,male,0.009729069684531185,0.006710217046057306,0.0056592990936067756,0.0015187580676199863,1276,tblc,0,20,85,0,7,5
90,male,0.0080791778549959975,0.006502144720694493,0.00548145127956548,0.0013890608554538951,506,tblc,0,10,90,0,3,5
91,male,0.0080791778549959975,0.006502144720694493,0.00548145127956548,0.0013890608554538951,506,tblc,0,10,90,0,3,5
92,male,0.0080791778549959975,0.006502144720694493,0.00548145127956548,0.0013890608554538951,506,tblc,0,10,90,0,3,5
93,male,0.0080791778549959975,0.006502144720694493,0.00548145127956548,0.0013890608554538951,506,tblc,0,10,90,0,3,5
94,male,0.0080791778549959975,0.006502144720694493,0.00548145127956548,0.0013890608554538951,506,tblc,0,10,90,0,3,5
95,male,0.003565660994061486,0.006108000809251249,0.005150545683980711,0.0010854356525792292,91,tblc,0,10,95,0,0,6
96,male,0.003565660994061486,0.006108000809251249,0.005150545683980711,0.0010854356525792292,91,tblc,0,10,95,0,0,6
97,male,0.003565660994061486,0.006108000809251249,0.005150545683980711,0.0010854356525792292,91,tblc,0,10,95,0,0,6
98,male,0.003565660994061486,0.006108000809251249,0.005150545683980711,0.0010854356525792292,91,tblc,0,10,95,0,0,6
99,male,0.003565660994061486,0.006108000809251249,0.005150545683980711,0.0010854356525792292,91,tblc,0,10,95,0,0,6
100,male,0.003565660994061486,0.006108000809251249,0.005150545683980711,0.0010854356525792292,91,tblc,0,10,95,0,0,6
