age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_ihd,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
0,male,0,1e-8,0,0,6980,ihd,0,10,0,0,0,5
1,male,0,1e-8,0,0,6980,ihd,0,10,0,0,0,5
2,male,0,1e-8,0,0,6980,ihd,0,10,0,0,0,5
3,male,0,1e-8,0,0,6980,ihd,0,10,0,0,0,5
4,male,0,1e-8,0,0,6980,ihd,0,10,0,0,0,5
5,male,0,1e-8,0,0,6917,ihd,0,10,5,0,0,5
6,male,0,1e-8,0,0,6917,ihd,0,10,5,0,0,5
7,male,0,1e-8,0,0,6917,ihd,0,10,5,0,0,5
8,male,0,1e-8,0,0,6917,ihd,0,10,5,0,0,5
9,male,0,1e-8,0,0,6917,ihd,0,10,5,0,0,5
10,male,0,1e-8,0,0,6234,ihd,0,50,10,0,0,5
11,male,0,1e-8,0,0,6234,ihd,0,50,10,0,0,5
12,male,0,1e-8,0,0,6234,ihd,0,50,10,0,0,5
13,male,0,1e-8,0,0,6234,ihd,0,50,10,0,0,5
14,male,0,1e-8,0,0,6234,ihd,0,50,10,0,0,5
15,male,1.2126359378817367e-4,2.0258136408993494e-5,6.251993801512832e-7,4.966186258221705e-6,6436,ihd,0,50,15,0,0,5
16,male,1.2126359378817367e-4,2.0258136408993494e-5,6.251993801512832e-7,4.966186258221705e-6,6436,ihd,0,50,15,0,0,5
17,male,1.2126359378817367e-4,2.0258136408993494e-5,6.251993801512832e-7,4.966186258221705e-6,6436,ihd,0,50,15,0,0,5
18,male,1.2126359378817367e-4,2.0258136408993494e-5,6.251993801512832e-7,4.966186258221705e-6,6436,ihd,0,50,15,0,0,5
19,male,1.2126359378817367e-4,2.0258136408993494e-5,6.251993801512832e-7,4.966186258221705e-6,6436,ihd,0,50,15,0,0,5
20,male,4.1997717346184133e-4,6.071276606375958e-5,2.509473215380992e-6,2.068347875808343e-5,7845,ihd,0,50,20,0,0,5
21,male,4.1997717346184133e-4,6.071276606375958e-5,2.509473215380992e-6,2.068347875808343e-5,7845,ihd,0,50,20,0,0,5
22,male,4.1997717346184133e-4,6.071276606375958e-5,2.509473215380992e-6,2.068347875808343e-5,7845,ihd,0,50,20,0,0,5
23,male,4.1997717346184133e-4,6.071276606375958e-5,2.509473215380992e-6,2.068347875808343e-5,7845,ihd,0,50,20,0,0,5
24,male,4.1997717346184133e-4,6.071276606375958e-5,2.509473215380992e-6,2.068347875808343e-5,7845,ihd,0,50,20,0,0,5
25,male,9.552860399311456e-4,1.0085241245192128e-4,8.591524684056617e-6,4.197755572902726e-5,9023,ihd,0,50,25,0,0,5
26,male,9.552860399311456e-4,1.0085241245192128e-4,8.591524684056617e-6,4.197755572902726e-5,9023,ihd,0,50,25,0,0,5
27,male,9.552860399311456e-4,1.0085241245192128e-4,8.591524684056617e-6,4.197755572902726e-5,9023,ihd,0,50,25,0,0,5
28,male,9.552860399311456e-4,1.0085241245192128e-4,8.591524684056617e-6,4.197755572902726e-5,9023,ihd,0,50,25,0,0,5
29,male,9.552860399311456e-4,1.0085241245192128e-4,8.591524684056617e-6,4.197755572902726e-5,9023,ihd,0,50,25,0,0,5
30,male,0.002063670402751989,2.808476373460011e-4,2.2687719167719603e-5,7.986396603168808e-5,8448,ihd,0,50,30,0,0,5
31,male,0.002063670402751989,2.808476373460011e-4,2.2687719167719603e-5,7.986396603168808e-5,8448,ihd,0,50,30,0,0,5
32,male,0.002063670402751989,2.808476373460011e-4,2.2687719167719603e-5,7.986396603168808e-5,8448,ihd,0,50,30,0,0,5
33,male,0.002063670402751989,2.808476373460011e-4,2.2687719167719603e-5,7.986396603168808e-5,8448,ihd,0,50,30,0,0,5
34,male,0.002063670402751989,2.808476373460011e-4,2.2687719167719603e-5,7.986396603168808e-5,8448,ihd,0,50,30,0,0,5
35,male,0.00455551282801375,6.0072260644915e-4,5.881966740857741e-5,1.5219107428009592e-4,7997,ihd,0,50,35,0,0,5
36,male,0.00455551282801375,6.0072260644915e-4,5.881966740857741e-5,1.5219107428009592e-4,7997,ihd,0,50,35,0,0,5
37,male,0.00455551282801375,6.0072260644915e-4,5.881966740857741e-5,1.5219107428009592e-4,7997,ihd,0,50,35,0,0,5
