age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_adaod,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,0,1e-8,0,0,6980,Adaod,0,10,0,0,0,5,male_Adaod
1,male,0,1e-8,0,0,6980,Adaod,0,10,0,0,0,5,male_Adaod
2,male,0,1e-8,0,0,6980,Adaod,0,10,0,0,0,5,male_Adaod
3,male,0,1e-8,0,0,6980,Adaod,0,10,0,0,0,5,male_Adaod
4,male,0,1e-8,0,0,6980,Adaod,0,10,0,0,0,5,male_Adaod
5,male,0,1e-8,0,0,6917,Adaod,0,10,5,0,0,5,male_Adaod
6,male,0,1e-8,0,0,6917,Adaod,0,10,5,0,0,5,male_Adaod
7,male,0,1e-8,0,0,6917,Adaod,0,10,5,0,0,5,male_Adaod
8,male,0,1e-8,0,0,6917,Adaod,0,10,5,0,0,5,male_Adaod
9,male,0,1e-8,0,0,6917,Adaod,0,10,5,0,0,5,male_Adaod
10,male,0,1e-8,0,0,6234,Adaod,0,50,10,0,0,5,male_Adaod
11,male,0,1e-8,0,0,6234,Adaod,0,50,10,0,0,5,male_Adaod
12,male,0,1e-8,0,0,6234,Adaod,0,50,10,0,0,5,male_Adaod
13,male,0,1e-8,0,0,6234,Adaod,0,50,10,0,0,5,male_Adaod
14,male,0,1e-8,0,0,6234,Adaod,0,50,10,0,0,5,male_Adaod
15,male,0,1e-8,0,0,6436,Adaod,0,50,15,0,0,5,male_Adaod
16,male,0,1e-8,0,0,6436,Adaod,0,50,15,0,0,5,male_Adaod
17,male,0,1e-8,0,0,6436,Adaod,0,50,15,0,0,5,male_Adaod
18,male,0,1e-8,0,0,6436,Adaod,0,50,15,0,0,5,male_Adaod
19,male,0,1e-8,0,0,6436,Adaod,0,50,15,0,0,5,male_Adaod
20,male,0,1e-8,0,0,7845,Adaod,0,50,20,0,0,5,male_Adaod
21,male,0,1e-8,0,0,7845,Adaod,0,50,20,0,0,5,male_Adaod
22,male,0,1e-8,0,0,7845,Adaod,0,50,20,0,0,5,male_Adaod
23,male,0,1e-8,0,0,7845,Adaod,0,50,20,0,0,5,male_Adaod
24,male,0,1e-8,0,0,7845,Adaod,0,50,20,0,0,5,male_Adaod
25,male,0,1e-8,0,0,9023,Adaod,0,50,25,0,0,5,male_Adaod
26,male,0,1e-8,0,0,9023,Adaod,0,50,25,0,0,5,male_Adaod
27,male,0,1e-8,0,0,9023,Adaod,0,50,25,0,0,5,male_Adaod
28,male,0,1e-8,0,0,9023,Adaod,0,50,25,0,0,5,male_Adaod
29,male,0,1e-8,0,0,9023,Adaod,0,50,25,0,0,5,male_Adaod
30,male,0,1e-8,0,0,8448,Adaod,0,50,30,0,0,5,male_Adaod
31,male,0,1e-8,0,0,8448,Adaod,0,50,30,0,0,5,male_Adaod
32,male,0,1e-8,0,0,8448,Adaod,0,50,30,0,0,5,male_Adaod
33,male,0,1e-8,0,0,8448,Adaod,0,50,30,0,0,5,male_Adaod
34,male,0,1e-8,0,0,8448,Adaod,0,50,30,0,0,5,male_Adaod
35,male,0,1e-8,0,0,7997,Adaod,0,50,35,0,0,5,male_Adaod
36,male,0,1e-8,0,0,7997,Adaod,0,50,35,0,0,5,male_Adaod
37,male,0,1e-8,0,0,7997,Adaod,0,50,35,0,0,5,male_Adaod
38,male,0,1e-8,0,0,7997,Adaod,0,50,35,0,0,5,male_Adaod
39,male,0,1e-8,0,0,7997,Adaod,0,50,35,0,0,5,male_Adaod
40,male,1.7003294731666755e-6,3.540105307558525e-5,5.952500390054765e-5,7.924488131281087e-6,7179,Adaod,0,50,40,0,0,5,male_Adaod
41,male,1.7003294731666755e-6,3.540105307558525e-5,5.952500390054765e-5,7.924488131281087e-6,7179,Adaod,0,50,40,0,0,5,male_Adaod
42,male,1.7003294731666755e-6,3.540105307558525e-5,5.952500390054765e-5,7.924488131281087e-6,7179,Adaod,0,50,40,0,0,5,male_Adaod
43,male,1.7003294731666755e-6,3.540105307558525e-5,5.952500390054765e-5,7.924488131281087e-6,7179,Adaod,0,50,40,0,0,5,male_Adaod
44,male,1.7003294731666755e-6,3.540105307558525e-5,5.952500390054765e-5,7.924488131281087e-6,7179,Adaod,0,50,40,0,0,5,male_Adaod
45,male,5.523588700866869e-6,1.1776634740305108e-4,4.215649871457393e-4,5.5028513838887844e-005,7628,Adaod,0,50,45,0,0,5,male_Adaod
46,male,5.523588700866869e-6,1.1776634740305108e-4,4.215649871457393e-4,5.5028513838887844e-005,7628,Adaod,0,50,45,0,0,5,male_Adaod
47,male,5.523588700866869e-6,1.1776634740305108e-4,4.215649871457393e-4,5.5028513838887844e-005,7628,Adaod,0,50,45,0,0,5,male_Adaod
48,male,5.523588700866869e-6,1.1776634740305108e-4,4.215649871457393e-4,5.5028513838887844e-005,7628,Adaod,0,50,45,0,0,5,male_Adaod
49,male,5.523588700866869e-6,1.1776634740305108e-4,4.215649871457393e-4,5.5028513838887844e-005,7628,Adaod,0,50,45,0,0,5,male_Adaod
