age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_crdd,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,9.570890930110416e-6,2.7613592478794235e-4,5.574925350234439e-4,7.148555260890603e-5,6980,Crdd,0,10,0,0,0,5,male_Crdd
1,male,9.570890930110416e-6,2.7613592478794235e-4,5.574925350234439e-4,7.148555260890603e-5,6980,Crdd,0,10,0,0,0,5,male_Crdd
2,male,9.570890930110416e-6,2.7613592478794235e-4,5.574925350234439e-4,7.148555260890603e-5,6980,Crdd,0,10,0,0,0,5,male_Crdd
3,male,9.570890930110416e-6,2.7613592478794235e-4,5.574925350234439e-4,7.148555260890603e-5,6980,Crdd,0,10,0,0,0,5,male_Crdd
4,male,9.570890930110416e-6,2.7613592478794235e-4,5.574925350234439e-4,7.148555260890603e-5,6980,Crdd,0,10,0,0,0,5,male_Crdd
5,male,1.6462847987392744e-6,2.2358937972041289e-4,0.001579747347246022,1.7053983225095884e-4,6917,Crdd,0,10,5,0,0,5,male_Crdd
6,male,1.6462847987392744e-6,2.2358937972041289e-4,0.001579747347246022,1.7053983225095884e-4,6917,Crdd,0,10,5,0,0,5,male_Crdd
7,male,1.6462847987392744e-6,2.2358937972041289e-4,0.001579747347246022,1.7053983225095884e-4,6917,Crdd,0,10,5,0,0,5,male_Crdd
8,male,1.6462847987392744e-6,2.2358937972041289e-4,0.001579747347246022,1.7053983225095884e-4,6917,Crdd,0,10,5,0,0,5,male_Crdd
9,male,1.6462847987392744e-6,2.2358937972041289e-4,0.001579747347246022,1.7053983225095884e-4,6917,Crdd,0,10,5,0,0,5,male_Crdd
10,male,3.6209198413084113e-6,2.3087362599022906e-4,0.0010840098793300345,1.6605644750030465e-4,6234,Crdd,0,50,10,0,0,5,male_Crdd
11,male,3.6209198413084113e-6,2.3087362599022906e-4,0.0010840098793300345,1.6605644750030465e-4,6234,Crdd,0,50,10,0,0,5,male_Crdd
12,male,3.6209198413084113e-6,2.3087362599022906e-4,0.0010840098793300345,1.6605644750030465e-4,6234,Crdd,0,50,10,0,0,5,male_Crdd
13,male,3.6209198413084113e-6,2.3087362599022906e-4,0.0010840098793300345,1.6605644750030465e-4,6234,Crdd,0,50,10,0,0,5,male_Crdd
14,male,3.6209198413084113e-6,2.3087362599022906e-4,0.0010840098793300345,1.6605644750030465e-4,6234,Crdd,0,50,10,0,0,5,male_Crdd
15,male,8.65840231014249e-6,3.738552315113675e-4,0.001975375992871611,2.4796370853006207e-4,6436,Crdd,0,50,15,0,0,5,male_Crdd
16,male,8.65840231014249e-6,3.738552315113675e-4,0.001975375992871611,2.4796370853006207e-4,6436,Crdd,0,50,15,0,0,5,male_Crdd
17,male,8.65840231014249e-6,3.738552315113675e-4,0.001975375992871611,2.4796370853006207e-4,6436,Crdd,0,50,15,0,0,5,male_Crdd
18,male,8.65840231014249e-6,3.738552315113675e-4,0.001975375992871611,2.4796370853006207e-4,6436,Crdd,0,50,15,0,0,5,male_Crdd
19,male,8.65840231014249e-6,3.738552315113675e-4,0.001975375992871611,2.4796370853006207e-4,6436,Crdd,0,50,15,0,0,5,male_Crdd
20,male,1.7332872729367248e-5,6.926969238201873e-4,0.0028772505599932614,3.2086984397751547e-4,7845,Crdd,0,50,20,0,0,5,male_Crdd
21,male,1.7332872729367248e-5,6.926969238201873e-4,0.0028772505599932614,3.2086984397751547e-4,7845,Crdd,0,50,20,0,0,5,male_Crdd
22,male,1.7332872729367248e-5,6.926969238201873e-4,0.0028772505599932614,3.2086984397751547e-4,7845,Crdd,0,50,20,0,0,5,male_Crdd
23,male,1.7332872729367248e-5,6.926969238201873e-4,0.0028772505599932614,3.2086984397751547e-4,7845,Crdd,0,50,20,0,0,5,male_Crdd
24,male,1.7332872729367248e-5,6.926969238201873e-4,0.0028772505599932614,3.2086984397751547e-4,7845,Crdd,0,50,20,0,0,5,male_Crdd
25,male,3.19564835091543e-5,0.0011999996059605994,0.0067443770733396835,5.304474556004582e-4,9023,Crdd,0,50,25,0,0,5,male_Crdd
26,male,3.19564835091543e-5,0.0011999996059605994,0.0067443770733396835,5.304474556004582e-4,9023,Crdd,0,50,25,0,0,5,male_Crdd
27,male,3.19564835091543e-5,0.0011999996059605994,0.0067443770733396835,5.304474556004582e-4,9023,Crdd,0,50,25,0,0,5,male_Crdd
28,male,3.19564835091543e-5,0.0011999996059605994,0.0067443770733396835,5.304474556004582e-4,9023,Crdd,0,50,25,0,0,5,male_Crdd
29,male,3.19564835091543e-5,0.0011999996059605994,0.0067443770733396835,5.304474556004582e-4,9023,Crdd,0,50,25,0,0,5,male_Crdd
30,male,5.9819234913340046e-5,0.0021582890146666285,0.010014819396950425,7.475666264225628e-4,8448,Crdd,0,50,30,1,1,5,male_Crdd
31,male,5.9819234913340046e-5,0.0021582890146666285,0.010014819396950425,7.475666264225628e-4,8448,Crdd,0,50,30,1,1,5,male_Crdd
32,male,5.9819234913340046e-5,0.0021582890146666285,0.010014819396950425,7.475666264225628e-4,8448,Crdd,0,50,30,1,1,5,male_Crdd
33,male,5.9819234913340046e-5,0.0021582890146666285,0.010014819396950425,7.475666264225628e-4,8448,Crdd,0,50,30,1,1,5,male_Crdd
34,male,5.9819234913340046e-5,0.0021582890146666285,0.010014819396950425,7.475666264225628e-4,8448,Crdd,0,50,30,1,1,5,male_Crdd
35,male,1.2213112645226005e-4,0.0034850428515631688,0.0168748042408625,0.0010691011962901441,7997,Crdd,0,50,35,1,1,5,male_Crdd
36,male,1.2213112645226005e-4,0.0034850428515631688,0.0168748042408625,0.0010691011962901441,7997,Crdd,0,50,35,1,1,5,male_Crdd
37,male,1.2213112645226005e-4,0.0034850428515631688,0.0168748042408625,0.0010691011962901441,7997,Crdd,0,50,35,1,1,5,male_Crdd
38,male,1.2213112645226005e-4,0.0034850428515631688,0.0168748042408625,0.0010691011962901441,7997,Crdd,0,50,35,1,1,5,male_Crdd
39,male,1.2213112645226005e-4,0.0034850428515631688,0.0168748042408625,0.0010691011962901441,7997,Crdd,0,50,35,1,1,5,male_Crdd
40,male,2.9178325370281635e-4,0.006987924606126902,0.038195235190187665,0.0017944276779986658,7179,Crdd,0,50,40,2,2,5,male_Crdd
41,male,2.9178325370281635e-4,0.006987924606126902,0.038195235190187665,0.0017944276779986658,7179,Crdd,0,50,40,2,2,5,male_Crdd
42,male,2.9178325370281635e-4,0.006987924606126902,0.038195235190187665,0.0017944276779986658,7179,Crdd,0,50,40,2,2,5,male_Crdd
43,male,2.9178325370281635e-4,0.006987924606126902,0.038195235190187665,0.0017944276779986658,7179,Crdd,0,50,40,2,2,5,male_Crdd
44,male,2.9178325370281635e-4,0.006987924606126902,0.038195235190187665,0.0017944276779986658,7179,Crdd,0,50,40,2,2,5,male_Crdd
45,male,5.055927150275201e-4,0.010334638854920725,0.06004639781685199,0.002684413971534454,7628,Crdd,0,50,45,3,4,5,male_Crdd
46,male,5.055927150275201e-4,0.010334638854920725,0.06004639781685199,0.002684413971534454,7628,Crdd,0,50,45,3,4,5,male_Crdd
47,male,5.055927150275201e-4,0.010334638854920725,0.06004639781685199,0.002684413971534454,7628,Crdd,0,50,45,3,4,5,male_Crdd
48,male,5.055927150275201e-4,0.010334638854920725,0.06004639781685199,0.002684413971534454,7628,Crdd,0,50,45,3,4,5,male_Crdd
49,male,5.055927150275201e-4,0.010334638854920725,0.06004639781685199,0.002684413971534454,7628,Crdd,0,50,45,3,4,5,male_Crdd
