age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_ishd,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,0,1e-8,0,0,6598,Ishd,0,10,0,0,0,5,female_Ishd
1,female,0,1e-8,0,0,6598,Ishd,0,10,0,0,0,5,female_Ishd
2,female,0,1e-8,0,0,6598,Ishd,0,10,0,0,0,5,female_Ishd
3,female,0,1e-8,0,0,6598,Ishd,0,10,0,0,0,5,female_Ishd
4,female,0,1e-8,0,0,6598,Ishd,0,10,0,0,0,5,female_Ishd
5,female,0,1e-8,0,0,6603,Ishd,0,10,5,0,0,5,female_Ishd
6,female,0,1e-8,0,0,6603,Ishd,0,10,5,0,0,5,female_Ishd
7,female,0,1e-8,0,0,6603,Ishd,0,10,5,0,0,5,female_Ishd
8,female,0,1e-8,0,0,6603,Ishd,0,10,5,0,0,5,female_Ishd
9,female,0,1e-8,0,0,6603,Ishd,0,10,5,0,0,5,female_Ishd
10,female,0,1e-8,0,0,6051,Ishd,0,50,10,0,0,5,female_Ishd
11,female,0,1e-8,0,0,6051,Ishd,0,50,10,0,0,5,female_Ishd
12,female,0,1e-8,0,0,6051,Ishd,0,50,10,0,0,5,female_Ishd
13,female,0,1e-8,0,0,6051,Ishd,0,50,10,0,0,5,female_Ishd
14,female,0,1e-8,0,0,6051,Ishd,0,50,10,0,0,5,female_Ishd
15,female,6.299617465758225e-7,1.5682316363599854e-5,1.1565661249292514e-4,4.354589967506781e-6,6338,Ishd,0,50,15,0,0,5,female_Ishd
16,female,6.299617465758225e-7,1.5682316363599854e-5,1.1565661249292514e-4,4.354589967506781e-6,6338,Ishd,0,50,15,0,0,5,female_Ishd
17,female,6.299617465758225e-7,1.5682316363599854e-5,1.1565661249292514e-4,4.354589967506781e-6,6338,Ishd,0,50,15,0,0,5,female_Ishd
18,female,6.299617465758225e-7,1.5682316363599854e-5,1.1565661249292514e-4,4.354589967506781e-6,6338,Ishd,0,50,15,0,0,5,female_Ishd
19,female,6.299617465758225e-7,1.5682316363599854e-5,1.1565661249292514e-4,4.354589967506781e-6,6338,Ishd,0,50,15,0,0,5,female_Ishd
20,female,1.242282315969341e-6,3.6010543803339066e-5,3.822751832968171e-4,1.8997375511766177e-5,7828,Ishd,0,50,20,0,0,5,female_Ishd
21,female,1.242282315969341e-6,3.6010543803339066e-5,3.822751832968171e-4,1.8997375511766177e-5,7828,Ishd,0,50,20,0,0,5,female_Ishd
22,female,1.242282315969341e-6,3.6010543803339066e-5,3.822751832968171e-4,1.8997375511766177e-5,7828,Ishd,0,50,20,0,0,5,female_Ishd
23,female,1.242282315969341e-6,3.6010543803339066e-5,3.822751832968171e-4,1.8997375511766177e-5,7828,Ishd,0,50,20,0,0,5,female_Ishd
24,female,1.242282315969341e-6,3.6010543803339066e-5,3.822751832968171e-4,1.8997375511766177e-5,7828,Ishd,0,50,20,0,0,5,female_Ishd
25,female,2.148261528185397e-6,4.50945703253704e-5,8.035572957590389e-4,3.79382523771468e-5,8833,Ishd,0,50,25,0,0,5,female_Ishd
