age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_lvrc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,0,1e-8,0,0,6980,Lvrc,0,10,0,0,0,5,male_Lvrc
1,male,0,1e-8,0,0,6980,Lvrc,0,10,0,0,0,5,male_Lvrc
2,male,0,1e-8,0,0,6980,Lvrc,0,10,0,0,0,5,male_Lvrc
3,male,0,1e-8,0,0,6980,Lvrc,0,10,0,0,0,5,male_Lvrc
4,male,0,1e-8,0,0,6980,Lvrc,0,10,0,0,0,5,male_Lvrc
5,male,2.8202498122932607e-7,1.4345130995696148e-6,0,2.9642415209098656e-7,6917,Lvrc,0,10,5,0,0,5,male_Lvrc
6,male,2.8202498122932607e-7,1.4345130995696148e-6,0,2.9642415209098656e-7,6917,Lvrc,0,10,5,0,0,5,male_Lvrc
7,male,2.8202498122932607e-7,1.4345130995696148e-6,0,2.9642415209098656e-7,6917,Lvrc,0,10,5,0,0,5,male_Lvrc
8,male,2.8202498122932607e-7,1.4345130995696148e-6,0,2.9642415209098656e-7,6917,Lvrc,0,10,5,0,0,5,male_Lvrc
9,male,2.8202498122932607e-7,1.4345130995696148e-6,0,2.9642415209098656e-7,6917,Lvrc,0,10,5,0,0,5,male_Lvrc
10,male,4.272936949913202e-7,2.128204088366775e-6,0,4.4912975802141736e-7,6234,Lvrc,0,50,10,0,0,5,male_Lvrc
11,male,4.272936949913202e-7,2.128204088366775e-6,0,4.4912975802141736e-7,6234,Lvrc,0,50,10,0,0,5,male_Lvrc
12,male,4.272936949913202e-7,2.128204088366775e-6,0,4.4912975802141736e-7,6234,Lvrc,0,50,10,0,0,5,male_Lvrc
13,male,4.272936949913202e-7,2.128204088366775e-6,0,4.4912975802141736e-7,6234,Lvrc,0,50,10,0,0,5,male_Lvrc
14,male,4.272936949913202e-7,2.128204088366775e-6,0,4.4912975802141736e-7,6234,Lvrc,0,50,10,0,0,5,male_Lvrc
15,male,5.260536352918002e-7,3.2213608999134906e-6,0,6.815557424870294e-7,6436,Lvrc,0,50,15,0,0,5,male_Lvrc
16,male,5.260536352918002e-7,3.2213608999134906e-6,0,6.815557424870294e-7,6436,Lvrc,0,50,15,0,0,5,male_Lvrc
17,male,5.260536352918002e-7,3.2213608999134906e-6,0,6.815557424870294e-7,6436,Lvrc,0,50,15,0,0,5,male_Lvrc
18,male,5.260536352918002e-7,3.2213608999134906e-6,0,6.815557424870294e-7,6436,Lvrc,0,50,15,0,0,5,male_Lvrc
