age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_allc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,6.377973498095757e-4,7.078523357549291,0.6535250922451852,0.02800067578272497,6598,Allc,0,10,0,7,4,5,female_Allc
1,female,6.377973498095757e-4,7.078523357549291,0.6535250922451852,0.02800067578272497,6598,Allc,0,10,0,7,4,5,female_Allc
2,female,6.377973498095757e-4,7.078523357549291,0.6535250922451852,0.02800067578272497,6598,Allc,0,10,0,7,4,5,female_Allc
3,female,6.377973498095757e-4,7.078523357549291,0.6535250922451852,0.02800067578272497,6598,Allc,0,10,0,7,4,5,female_Allc
4,female,6.377973498095757e-4,7.078523357549291,0.6535250922451852,0.02800067578272497,6598,Allc,0,10,0,7,4,5,female_Allc
5,female,4.3206421319010685e-5,6.551595004928579,0.7981957021841399,0.03795297679437017,6603,Allc,0,10,5,8,0,5,female_Allc
6,female,4.3206421319010685e-5,6.551595004928579,0.7981957021841399,0.03795297679437017,6603,Allc,0,10,5,8,0,5,female_Allc
7,female,4.3206421319010685e-5,6.551595004928579,0.7981957021841399,0.03795297679437017,6603,Allc,0,10,5,8,0,5,female_Allc
8,female,4.3206421319010685e-5,6.551595004928579,0.7981957021841399,0.03795297679437017,6603,Allc,0,10,5,8,0,5,female_Allc
9,female,4.3206421319010685e-5,6.551595004928579,0.7981957021841399,0.03795297679437017,6603,Allc,0,10,5,8,0,5,female_Allc
10,female,6.510053042869132e-5,5.462742872482661,0.8728208779592079,0.05657442023603632,6051,Allc,0,50,10,44,0,5,female_Allc
11,female,6.510053042869132e-5,5.462742872482661,0.8728208779592079,0.05657442023603632,6051,Allc,0,50,10,44,0,5,female_Allc
12,female,6.510053042869132e-5,5.462742872482661,0.8728208779592079,0.05657442023603632,6051,Allc,0,50,10,44,0,5,female_Allc
13,female,6.510053042869132e-5,5.462742872482661,0.8728208779592079,0.05657442023603632,6051,Allc,0,50,10,44,0,5,female_Allc
14,female,6.510053042869132e-5,5.462742872482661,0.8728208779592079,0.05657442023603632,6051,Allc,0,50,10,44,0,5,female_Allc
15,female,1.904198085383872e-4,5.477472009884116,0.950316165297091,0.09151320966609111,6338,Allc,0,50,15,48,1,5,female_Allc
16,female,1.904198085383872e-4,5.477472009884116,0.950316165297091,0.09151320966609111,6338,Allc,0,50,15,48,1,5,female_Allc
17,female,1.904198085383872e-4,5.477472009884116,0.950316165297091,0.09151320966609111,6338,Allc,0,50,15,48,1,5,female_Allc
18,female,1.904198085383872e-4,5.477472009884116,0.950316165297091,0.09151320966609111,6338,Allc,0,50,15,48,1,5,female_Allc
19,female,1.904198085383872e-4,5.477472009884116,0.950316165297091,0.09151320966609111,6338,Allc,0,50,15,48,1,5,female_Allc
20,female,1.9479972648315288e-4,5.751923257521461,0.9753837953688456,0.11433794590365919,7828,Allc,0,50,20,49,2,5,female_Allc
21,female,1.9479972648315288e-4,5.751923257521461,0.9753837953688456,0.11433794590365919,7828,Allc,0,50,20,49,2,5,female_Allc
22,female,1.9479972648315288e-4,5.751923257521461,0.9753837953688456,0.11433794590365919,7828,Allc,0,50,20,49,2,5,female_Allc
23,female,1.9479972648315288e-4,5.751923257521461,0.9753837953688456,0.11433794590365919,7828,Allc,0,50,20,49,2,5,female_Allc
24,female,1.9479972648315288e-4,5.751923257521461,0.9753837953688456,0.11433794590365919,7828,Allc,0,50,20,49,2,5,female_Allc
25,female,2.471737022806056e-4,5.778978118451401,0.9865228767704333,0.12954449889304392,8833,Allc,0,50,25,49,2,5,female_Allc
26,female,2.471737022806056e-4,5.778978118451401,0.9865228767704333,0.12954449889304392,8833,Allc,0,50,25,49,2,5,female_Allc
27,female,2.471737022806056e-4,5.778978118451401,0.9865228767704333,0.12954449889304392,8833,Allc,0,50,25,49,2,5,female_Allc
28,female,2.471737022806056e-4,5.778978118451401,0.9865228767704333,0.12954449889304392,8833,Allc,0,50,25,49,2,5,female_Allc
29,female,2.471737022806056e-4,5.778978118451401,0.9865228767704333,0.12954449889304392,8833,Allc,0,50,25,49,2,5,female_Allc
30,female,3.4333868061039215e-4,5.608871894109505,0.9899010686901011,0.13737604219673305,7963,Allc,0,50,30,49,3,5,female_Allc
31,female,3.4333868061039215e-4,5.608871894109505,0.9899010686901011,0.13737604219673305,7963,Allc,0,50,30,49,3,5,female_Allc
32,female,3.4333868061039215e-4,5.608871894109505,0.9899010686901011,0.13737604219673305,7963,Allc,0,50,30,49,3,5,female_Allc
33,female,3.4333868061039215e-4,5.608871894109505,0.9899010686901011,0.13737604219673305,7963,Allc,0,50,30,49,3,5,female_Allc
34,female,3.4333868061039215e-4,5.608871894109505,0.9899010686901011,0.13737604219673305,7963,Allc,0,50,30,49,3,5,female_Allc
35,female,5.982458972928712e-4,5.435294521435518,0.992320666421488,0.14794692259812098,7482,Allc,0,50,35,50,4,5,female_Allc
36,female,5.982458972928712e-4,5.435294521435518,0.992320666421488,0.14794692259812098,7482,Allc,0,50,35,50,4,5,female_Allc
37,female,5.982458972928712e-4,5.435294521435518,0.992320666421488,0.14794692259812098,7482,Allc,0,50,35,50,4,5,female_Allc
38,female,5.982458972928712e-4,5.435294521435518,0.992320666421488,0.14794692259812098,7482,Allc,0,50,35,50,4,5,female_Allc
39,female,5.982458972928712e-4,5.435294521435518,0.992320666421488,0.14794692259812098,7482,Allc,0,50,35,50,4,5,female_Allc
40,female,8.844956528047165e-4,5.1695835755084465,0.9941986492958377,0.15665191948707502,6901,Allc,0,50,40,50,6,5,female_Allc
41,female,8.844956528047165e-4,5.1695835755084465,0.9941986492958377,0.15665191948707502,6901,Allc,0,50,40,50,6,5,female_Allc
42,female,8.844956528047165e-4,5.1695835755084465,0.9941986492958377,0.15665191948707502,6901,Allc,0,50,40,50,6,5,female_Allc
43,female,8.844956528047165e-4,5.1695835755084465,0.9941986492958377,0.15665191948707502,6901,Allc,0,50,40,50,6,5,female_Allc
44,female,8.844956528047165e-4,5.1695835755084465,0.9941986492958377,0.15665191948707502,6901,Allc,0,50,40,50,6,5,female_Allc
45,female,0.001520322079004927,4.817317212909591,0.9946631998481568,0.16413918425126484,7531,Allc,0,50,45,50,11,5,female_Allc
46,female,0.001520322079004927,4.817317212909591,0.9946631998481568,0.16413918425126484,7531,Allc,0,50,45,50,11,5,female_Allc
47,female,0.001520322079004927,4.817317212909591,0.9946631998481568,0.16413918425126484,7531,Allc,0,50,45,50,11,5,female_Allc
48,female,0.001520322079004927,4.817317212909591,0.9946631998481568,0.16413918425126484,7531,Allc,0,50,45,50,11,5,female_Allc
49,female,0.001520322079004927,4.817317212909591,0.9946631998481568,0.16413918425126484,7531,Allc,0,50,45,50,11,5,female_Allc
50,female,0.0023129325555751104,4.586434482690733,0.9946047084240773,0.16908403532687233,7629,Allc,0,50,50,50,18,5,female_Allc
51,female,0.0023129325555751104,4.586434482690733,0.9946047084240773,0.16908403532687233,7629,Allc,0,50,50,50,18,5,female_Allc
52,female,0.0023129325555751104,4.586434482690733,0.9946047084240773,0.16908403532687233,7629,Allc,0,50,50,50,18,5,female_Allc
53,female,0.0023129325555751104,4.586434482690733,0.9946047084240773,0.16908403532687233,7629,Allc,0,50,50,50,18,5,female_Allc
54,female,0.0023129325555751104,4.586434482690733,0.9946047084240773,0.16908403532687233,7629,Allc,0,50,50,50,18,5,female_Allc
55,female,0.003561664054418826,4.4412678149971025,0.9950712233103819,0.17645732395124036,6580,Allc,0,50,55,50,23,5,female_Allc
56,female,0.003561664054418826,4.4412678149971025,0.9950712233103819,0.17645732395124036,6580,Allc,0,50,55,50,23,5,female_Allc
57,female,0.003561664054418826,4.4412678149971025,0.9950712233103819,0.17645732395124036,6580,Allc,0,50,55,50,23,5,female_Allc
58,female,0.003561664054418826,4.4412678149971025,0.9950712233103819,0.17645732395124036,6580,Allc,0,50,55,50,23,5,female_Allc
59,female,0.003561664054418826,4.4412678149971025,0.9950712233103819,0.17645732395124036,6580,Allc,0,50,55,50,23,5,female_Allc
60,female,0.006061990453162027,4.414527573346831,0.9965178467486233,0.18952269064371202,5725,Allc,0,50,60,50,35,5,female_Allc
61,female,0.006061990453162027,4.414527573346831,0.9965178467486233,0.18952269064371202,5725,Allc,0,50,60,50,35,5,female_Allc
62,female,0.006061990453162027,4.414527573346831,0.9965178467486233,0.18952269064371202,5725,Allc,0,50,60,50,35,5,female_Allc
63,female,0.006061990453162027,4.414527573346831,0.9965178467486233,0.18952269064371202,5725,Allc,0,50,60,50,35,5,female_Allc
64,female,0.006061990453162027,4.414527573346831,0.9965178467486233,0.18952269064371202,5725,Allc,0,50,60,50,35,5,female_Allc
65,female,0.009736747062171746,4.721851640407863,0.9978985758926027,0.20774470651542631,5670,Allc,0,50,65,50,55,5,female_Allc
66,female,0.009736747062171746,4.721851640407863,0.9978985758926027,0.20774470651542631,5670,Allc,0,50,65,50,55,5,female_Allc
67,female,0.009736747062171746,4.721851640407863,0.9978985758926027,0.20774470651542631,5670,Allc,0,50,65,50,55,5,female_Allc
68,female,0.009736747062171746,4.721851640407863,0.9978985758926027,0.20774470651542631,5670,Allc,0,50,65,50,55,5,female_Allc
69,female,0.009736747062171746,4.721851640407863,0.9978985758926027,0.20774470651542631,5670,Allc,0,50,65,50,55,5,female_Allc
70,female,0.015754308676995222,5.032410995346791,0.9988297250230718,0.22695984065604108,5104,Allc,0,50,70,50,80,5,female_Allc
71,female,0.015754308676995222,5.032410995346791,0.9988297250230718,0.22695984065604108,5104,Allc,0,50,70,50,80,5,female_Allc
72,female,0.015754308676995222,5.032410995346791,0.9988297250230718,0.22695984065604108,5104,Allc,0,50,70,50,80,5,female_Allc
73,female,0.015754308676995222,5.032410995346791,0.9988297250230718,0.22695984065604108,5104,Allc,0,50,70,50,80,5,female_Allc
74,female,0.015754308676995222,5.032410995346791,0.9988297250230718,0.22695984065604108,5104,Allc,0,50,70,50,80,5,female_Allc
75,female,0.028658431877530244,5.329435603966898,0.9993395322412797,0.2519330081250208,3792,Allc,0,50,75,50,107,5,female_Allc
76,female,0.028658431877530244,5.329435603966898,0.9993395322412797,0.2519330081250208,3792,Allc,0,50,75,50,107,5,female_Allc
77,female,0.028658431877530244,5.329435603966898,0.9993395322412797,0.2519330081250208,3792,Allc,0,50,75,50,107,5,female_Allc
78,female,0.028658431877530244,5.329435603966898,0.9993395322412797,0.2519330081250208,3792,Allc,0,50,75,50,107,5,female_Allc
79,female,0.028658431877530244,5.329435603966898,0.9993395322412797,0.2519330081250208,3792,Allc,0,50,75,50,107,5,female_Allc
80,female,0.05420152202125648,5.983670752152501,0.9996694328432408,0.28824283832474934,2983,Allc,0,20,80,20,157,5,female_Allc
81,female,0.05420152202125648,5.983670752152501,0.9996694328432408,0.28824283832474934,2983,Allc,0,20,80,20,157,5,female_Allc
82,female,0.05420152202125648,5.983670752152501,0.9996694328432408,0.28824283832474934,2983,Allc,0,20,80,20,157,5,female_Allc
83,female,0.05420152202125648,5.983670752152501,0.9996694328432408,0.28824283832474934,2983,Allc,0,20,80,20,157,5,female_Allc
84,female,0.05420152202125648,5.983670752152501,0.9996694328432408,0.28824283832474934,2983,Allc,0,20,80,20,157,5,female_Allc
85,female,0.11206794451062929,6.840292374856544,0.9998171852464266,0.330685962033773,2001,Allc,0,20,85,20,212,5,female_Allc
86,female,0.11206794451062929,6.840292374856544,0.9998171852464266,0.330685962033773,2001,Allc,0,20,85,20,212,5,female_Allc
87,female,0.11206794451062929,6.840292374856544,0.9998171852464266,0.330685962033773,2001,Allc,0,20,85,20,212,5,female_Allc
88,female,0.11206794451062929,6.840292374856544,0.9998171852464266,0.330685962033773,2001,Allc,0,20,85,20,212,5,female_Allc
89,female,0.11206794451062929,6.840292374856544,0.9998171852464266,0.330685962033773,2001,Allc,0,20,85,20,212,5,female_Allc
90,female,0.19257503728308123,7.700877431888223,0.9998890154072834,0.3669089286214112,1019,Allc,0,10,90,10,178,5,female_Allc
91,female,0.19257503728308123,7.700877431888223,0.9998890154072834,0.3669089286214112,1019,Allc,0,10,90,10,178,5,female_Allc
92,female,0.19257503728308123,7.700877431888223,0.9998890154072834,0.3669089286214112,1019,Allc,0,10,90,10,178,5,female_Allc
93,female,0.19257503728308123,7.700877431888223,0.9998890154072834,0.3669089286214112,1019,Allc,0,10,90,10,178,5,female_Allc
94,female,0.19257503728308123,7.700877431888223,0.9998890154072834,0.3669089286214112,1019,Allc,0,10,90,10,178,5,female_Allc
95,female,0.3392604455721693,8.520000388435866,0.9999279336178704,0.39529650989635823,275,Allc,0,10,95,10,79,6,female_Allc
96,female,0.3392604455721693,8.520000388435866,0.9999279336178704,0.39529650989635823,275,Allc,0,10,95,10,79,6,female_Allc
97,female,0.3392604455721693,8.520000388435866,0.9999279336178704,0.39529650989635823,275,Allc,0,10,95,10,79,6,female_Allc
98,female,0.3392604455721693,8.520000388435866,0.9999279336178704,0.39529650989635823,275,Allc,0,10,95,10,79,6,female_Allc
99,female,0.3392604455721693,8.520000388435866,0.9999279336178704,0.39529650989635823,275,Allc,0,10,95,10,79,6,female_Allc
100,female,0.3392604455721693,8.520000388435866,0.9999279336178704,0.39529650989635823,275,Allc,0,10,95,10,79,6,female_Allc
