age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_stmc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,0,1e-8,0,0,6980,Stmc,0,10,0,0,0,5,male_Stmc
1,male,0,1e-8,0,0,6980,Stmc,0,10,0,0,0,5,male_Stmc
2,male,0,1e-8,0,0,6980,Stmc,0,10,0,0,0,5,male_Stmc
3,male,0,1e-8,0,0,6980,Stmc,0,10,0,0,0,5,male_Stmc
4,male,0,1e-8,0,0,6980,Stmc,0,10,0,0,0,5,male_Stmc
5,male,0,1e-8,0,0,6917,Stmc,0,10,5,0,0,5,male_Stmc
6,male,0,1e-8,0,0,6917,Stmc,0,10,5,0,0,5,male_Stmc
7,male,0,1e-8,0,0,6917,Stmc,0,10,5,0,0,5,male_Stmc
8,male,0,1e-8,0,0,6917,Stmc,0,10,5,0,0,5,male_Stmc
9,male,0,1e-8,0,0,6917,Stmc,0,10,5,0,0,5,male_Stmc
10,male,0,1e-8,0,0,6234,Stmc,0,50,10,0,0,5,male_Stmc
11,male,0,1e-8,0,0,6234,Stmc,0,50,10,0,0,5,male_Stmc
12,male,0,1e-8,0,0,6234,Stmc,0,50,10,0,0,5,male_Stmc
13,male,0,1e-8,0,0,6234,Stmc,0,50,10,0,0,5,male_Stmc
14,male,0,1e-8,0,0,6234,Stmc,0,50,10,0,0,5,male_Stmc
15,male,1.2582738512396012e-7,7.741797839975e-7,3.44872893464394e-6,3.281507016362271e-7,6436,Stmc,0,50,15,0,0,5,male_Stmc
16,male,1.2582738512396012e-7,7.741797839975e-7,3.44872893464394e-6,3.281507016362271e-7,6436,Stmc,0,50,15,0,0,5,male_Stmc
17,male,1.2582738512396012e-7,7.741797839975e-7,3.44872893464394e-6,3.281507016362271e-7,6436,Stmc,0,50,15,0,0,5,male_Stmc
18,male,1.2582738512396012e-7,7.741797839975e-7,3.44872893464394e-6,3.281507016362271e-7,6436,Stmc,0,50,15,0,0,5,male_Stmc
19,male,1.2582738512396012e-7,7.741797839975e-7,3.44872893464394e-6,3.281507016362271e-7,6436,Stmc,0,50,15,0,0,5,male_Stmc
20,male,3.7371381030010704e-7,1.7741019513968246e-6,7.797629592770186e-6,7.463533667629859e-7,7845,Stmc,0,50,20,0,0,5,male_Stmc
21,male,3.7371381030010704e-7,1.7741019513968246e-6,7.797629592770186e-6,7.463533667629859e-7,7845,Stmc,0,50,20,0,0,5,male_Stmc
22,male,3.7371381030010704e-7,1.7741019513968246e-6,7.797629592770186e-6,7.463533667629859e-7,7845,Stmc,0,50,20,0,0,5,male_Stmc
23,male,3.7371381030010704e-7,1.7741019513968246e-6,7.797629592770186e-6,7.463533667629859e-7,7845,Stmc,0,50,20,0,0,5,male_Stmc
24,male,3.7371381030010704e-7,1.7741019513968246e-6,7.797629592770186e-6,7.463533667629859e-7,7845,Stmc,0,50,20,0,0,5,male_Stmc
25,male,1.086556035331308e-6,3.995831195848552e-6,1.595360487893651e-5,1.599520628555955e-6,9023,Stmc,0,50,25,0,0,5,male_Stmc
