age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_strk,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,1.0718876195139768e-6,6.0441655832642885e-5,0,2.0989033072887492e-5,6980,Strk,0,10,0,0,0,5,male_Strk
1,male,1.0718876195139768e-6,6.0441655832642885e-5,0,2.0989033072887492e-5,6980,Strk,0,10,0,0,0,5,male_Strk
2,male,1.0718876195139768e-6,6.0441655832642885e-5,0,2.0989033072887492e-5,6980,Strk,0,10,0,0,0,5,male_Strk
3,male,1.0718876195139768e-6,6.0441655832642885e-5,0,2.0989033072887492e-5,6980,Strk,0,10,0,0,0,5,male_Strk
4,male,1.0718876195139768e-6,6.0441655832642885e-5,0,2.0989033072887492e-5,6980,Strk,0,10,0,0,0,5,male_Strk
5,male,3.6383944693185357e-7,5.209197464970206e-5,1.5072028882695705e-4,5.79099542396929e-5,6917,Strk,0,10,5,0,0,5,male_Strk
6,male,3.6383944693185357e-7,5.209197464970206e-5,1.5072028882695705e-4,5.79099542396929e-5,6917,Strk,0,10,5,0,0,5,male_Strk
7,male,3.6383944693185357e-7,5.209197464970206e-5,1.5072028882695705e-4,5.79099542396929e-5,6917,Strk,0,10,5,0,0,5,male_Strk
8,male,3.6383944693185357e-7,5.209197464970206e-5,1.5072028882695705e-4,5.79099542396929e-5,6917,Strk,0,10,5,0,0,5,male_Strk
9,male,3.6383944693185357e-7,5.209197464970206e-5,1.5072028882695705e-4,5.79099542396929e-5,6917,Strk,0,10,5,0,0,5,male_Strk
10,male,7.792540227617559e-7,4.84974656525817e-5,3.5252535705542393e-4,9.365600152783161e-5,6234,Strk,0,50,10,0,0,5,male_Strk
11,male,7.792540227617559e-7,4.84974656525817e-5,3.5252535705542393e-4,9.365600152783161e-5,6234,Strk,0,50,10,0,0,5,male_Strk
12,male,7.792540227617559e-7,4.84974656525817e-5,3.5252535705542393e-4,9.365600152783161e-5,6234,Strk,0,50,10,0,0,5,male_Strk
13,male,7.792540227617559e-7,4.84974656525817e-5,3.5252535705542393e-4,9.365600152783161e-5,6234,Strk,0,50,10,0,0,5,male_Strk
14,male,7.792540227617559e-7,4.84974656525817e-5,3.5252535705542393e-4,9.365600152783161e-5,6234,Strk,0,50,10,0,0,5,male_Strk
15,male,1.6830433089994e-6,4.620042497387428e-5,4.710712842065582e-4,1.273853079401099e-4,6436,Strk,0,50,15,0,0,5,male_Strk
16,male,1.6830433089994e-6,4.620042497387428e-5,4.710712842065582e-4,1.273853079401099e-4,6436,Strk,0,50,15,0,0,5,male_Strk
17,male,1.6830433089994e-6,4.620042497387428e-5,4.710712842065582e-4,1.273853079401099e-4,6436,Strk,0,50,15,0,0,5,male_Strk
18,male,1.6830433089994e-6,4.620042497387428e-5,4.710712842065582e-4,1.273853079401099e-4,6436,Strk,0,50,15,0,0,5,male_Strk
19,male,1.6830433089994e-6,4.620042497387428e-5,4.710712842065582e-4,1.273853079401099e-4,6436,Strk,0,50,15,0,0,5,male_Strk
20,male,3.6648024370870753e-6,5.7869643380307924e-5,7.879847015449098e-4,1.645416484969627e-4,7845,Strk,0,50,20,0,0,5,male_Strk
21,male,3.6648024370870753e-6,5.7869643380307924e-5,7.879847015449098e-4,1.645416484969627e-4,7845,Strk,0,50,20,0,0,5,male_Strk
22,male,3.6648024370870753e-6,5.7869643380307924e-5,7.879847015449098e-4,1.645416484969627e-4,7845,Strk,0,50,20,0,0,5,male_Strk
23,male,3.6648024370870753e-6,5.7869643380307924e-5,7.879847015449098e-4,1.645416484969627e-4,7845,Strk,0,50,20,0,0,5,male_Strk
24,male,3.6648024370870753e-6,5.7869643380307924e-5,7.879847015449098e-4,1.645416484969627e-4,7845,Strk,0,50,20,0,0,5,male_Strk
25,male,6.561968314519513e-6,8.345060371714494e-5,0.001214265626493185,2.1206391950498077e-4,9023,Strk,0,50,25,0,0,5,male_Strk
26,male,6.561968314519513e-6,8.345060371714494e-5,0.001214265626493185,2.1206391950498077e-4,9023,Strk,0,50,25,0,0,5,male_Strk
27,male,6.561968314519513e-6,8.345060371714494e-5,0.001214265626493185,2.1206391950498077e-4,9023,Strk,0,50,25,0,0,5,male_Strk
28,male,6.561968314519513e-6,8.345060371714494e-5,0.001214265626493185,2.1206391950498077e-4,9023,Strk,0,50,25,0,0,5,male_Strk
29,male,6.561968314519513e-6,8.345060371714494e-5,0.001214265626493185,2.1206391950498077e-4,9023,Strk,0,50,25,0,0,5,male_Strk
30,male,1.1266770128415463e-5,1.5656623911234236e-4,0.0017227517793084038,2.8344014730206533e-4,8448,Strk,0,50,30,0,0,5,male_Strk
31,male,1.1266770128415463e-5,1.5656623911234236e-4,0.0017227517793084038,2.8344014730206533e-4,8448,Strk,0,50,30,0,0,5,male_Strk
32,male,1.1266770128415463e-5,1.5656623911234236e-4,0.0017227517793084038,2.8344014730206533e-4,8448,Strk,0,50,30,0,0,5,male_Strk
