age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_brsc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,0,1e-8,0,0,6980,Brsc,0,10,0,0,0,5,male_Brsc
1,male,0,1e-8,0,0,6980,Brsc,0,10,0,0,0,5,male_Brsc
2,male,0,1e-8,0,0,6980,Brsc,0,10,0,0,0,5,male_Brsc
3,male,0,1e-8,0,0,6980,Brsc,0,10,0,0,0,5,male_Brsc
4,male,0,1e-8,0,0,6980,Brsc,0,10,0,0,0,5,male_Brsc
5,male,0,1e-8,0,0,6917,Brsc,0,10,5,0,0,5,male_Brsc
6,male,0,1e-8,0,0,6917,Brsc,0,10,5,0,0,5,male_Brsc
7,male,0,1e-8,0,0,6917,Brsc,0,10,5,0,0,5,male_Brsc
8,male,0,1e-8,0,0,6917,Brsc,0,10,5,0,0,5,male_Brsc
9,male,0,1e-8,0,0,6917,Brsc,0,10,5,0,0,5,male_Brsc
10,male,0,1e-8,0,0,6234,Brsc,0,50,10,0,0,5,male_Brsc
11,male,0,1e-8,0,0,6234,Brsc,0,50,10,0,0,5,male_Brsc
12,male,0,1e-8,0,0,6234,Brsc,0,50,10,0,0,5,male_Brsc
13,male,0,1e-8,0,0,6234,Brsc,0,50,10,0,0,5,male_Brsc
14,male,0,1e-8,0,0,6234,Brsc,0,50,10,0,0,5,male_Brsc
15,male,8.060050906593119e-8,6.320897815191177e-7,5.6678457320546705e-6,5.263076140549154e-7,6436,Brsc,0,50,15,0,0,5,male_Brsc
16,male,8.060050906593119e-8,6.320897815191177e-7,5.6678457320546705e-6,5.263076140549154e-7,6436,Brsc,0,50,15,0,0,5,male_Brsc
17,male,8.060050906593119e-8,6.320897815191177e-7,5.6678457320546705e-6,5.263076140549154e-7,6436,Brsc,0,50,15,0,0,5,male_Brsc
18,male,8.060050906593119e-8,6.320897815191177e-7,5.6678457320546705e-6,5.263076140549154e-7,6436,Brsc,0,50,15,0,0,5,male_Brsc
19,male,8.060050906593119e-8,6.320897815191177e-7,5.6678457320546705e-6,5.263076140549154e-7,6436,Brsc,0,50,15,0,0,5,male_Brsc
20,male,8.136587374511145e-8,7.499156419667595e-7,7.772208431861405e-6,6.696760905078906e-7,7845,Brsc,0,50,20,0,0,5,male_Brsc
21,male,8.136587374511145e-8,7.499156419667595e-7,7.772208431861405e-6,6.696760905078906e-7,7845,Brsc,0,50,20,0,0,5,male_Brsc
22,male,8.136587374511145e-8,7.499156419667595e-7,7.772208431861405e-6,6.696760905078906e-7,7845,Brsc,0,50,20,0,0,5,male_Brsc
23,male,8.136587374511145e-8,7.499156419667595e-7,7.772208431861405e-6,6.696760905078906e-7,7845,Brsc,0,50,20,0,0,5,male_Brsc
24,male,8.136587374511145e-8,7.499156419667595e-7,7.772208431861405e-6,6.696760905078906e-7,7845,Brsc,0,50,20,0,0,5,male_Brsc
25,male,9.752739351392098e-8,1.0299584744522754e-6,1.0819505379895807e-5,9.226621415216078e-7,9023,Brsc,0,50,25,0,0,5,male_Brsc
26,male,9.752739351392098e-8,1.0299584744522754e-6,1.0819505379895807e-5,9.226621415216078e-7,9023,Brsc,0,50,25,0,0,5,male_Brsc
27,male,9.752739351392098e-8,1.0299584744522754e-6,1.0819505379895807e-5,9.226621415216078e-7,9023,Brsc,0,50,25,0,0,5,male_Brsc
28,male,9.752739351392098e-8,1.0299584744522754e-6,1.0819505379895807e-5,9.226621415216078e-7,9023,Brsc,0,50,25,0,0,5,male_Brsc
29,male,9.752739351392098e-8,1.0299584744522754e-6,1.0819505379895807e-5,9.226621415216078e-7,9023,Brsc,0,50,25,0,0,5,male_Brsc
30,male,1.533105105059993e-7,1.0743218270912503e-6,1.1269658156719195e-5,9.542782412818814e-7,8448,Brsc,0,50,30,0,0,5,male_Brsc
31,male,1.533105105059993e-7,1.0743218270912503e-6,1.1269658156719195e-5,9.542782412818814e-7,8448,Brsc,0,50,30,0,0,5,male_Brsc
32,male,1.533105105059993e-7,1.0743218270912503e-6,1.1269658156719195e-5,9.542782412818814e-7,8448,Brsc,0,50,30,0,0,5,male_Brsc
33,male,1.533105105059993e-7,1.0743218270912503e-6,1.1269658156719195e-5,9.542782412818814e-7,8448,Brsc,0,50,30,0,0,5,male_Brsc
34,male,1.533105105059993e-7,1.0743218270912503e-6,1.1269658156719195e-5,9.542782412818814e-7,8448,Brsc,0,50,30,0,0,5,male_Brsc
35,male,3.912166433108375e-7,2.201007615461463e-6,2.0989846796524436e-5,1.8683827688357457e-6,7997,Brsc,0,50,35,0,0,5,male_Brsc
36,male,3.912166433108375e-7,2.201007615461463e-6,2.0989846796524436e-5,1.8683827688357457e-6,7997,Brsc,0,50,35,0,0,5,male_Brsc
37,male,3.912166433108375e-7,2.201007615461463e-6,2.0989846796524436e-5,1.8683827688357457e-6,7997,Brsc,0,50,35,0,0,5,male_Brsc
38,male,3.912166433108375e-7,2.201007615461463e-6,2.0989846796524436e-5,1.8683827688357457e-6,7997,Brsc,0,50,35,0,0,5,male_Brsc
39,male,3.912166433108375e-7,2.201007615461463e-6,2.0989846796524436e-5,1.8683827688357457e-6,7997,Brsc,0,50,35,0,0,5,male_Brsc
