age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_carc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,0,1e-8,0,0,6598,Carc,0,10,0,0,0,5,female_Carc
1,female,0,1e-8,0,0,6598,Carc,0,10,0,0,0,5,female_Carc
2,female,0,1e-8,0,0,6598,Carc,0,10,0,0,0,5,female_Carc
3,female,0,1e-8,0,0,6598,Carc,0,10,0,0,0,5,female_Carc
4,female,0,1e-8,0,0,6598,Carc,0,10,0,0,0,5,female_Carc
5,female,0,1e-8,0,0,6603,Carc,0,10,5,0,0,5,female_Carc
6,female,0,1e-8,0,0,6603,Carc,0,10,5,0,0,5,female_Carc
7,female,0,1e-8,0,0,6603,Carc,0,10,5,0,0,5,female_Carc
8,female,0,1e-8,0,0,6603,Carc,0,10,5,0,0,5,female_Carc
9,female,0,1e-8,0,0,6603,Carc,0,10,5,0,0,5,female_Carc
10,female,0,1e-8,0,0,6051,Carc,0,50,10,0,0,5,female_Carc
11,female,0,1e-8,0,0,6051,Carc,0,50,10,0,0,5,female_Carc
12,female,0,1e-8,0,0,6051,Carc,0,50,10,0,0,5,female_Carc
13,female,0,1e-8,0,0,6051,Carc,0,50,10,0,0,5,female_Carc
14,female,0,1e-8,0,0,6051,Carc,0,50,10,0,0,5,female_Carc
15,female,3.4726398455655083e-7,1.8997671729563166e-6,1.345163761026501e-5,1.4880815158339187e-6,6338,Carc,0,50,15,0,0,5,female_Carc
16,female,3.4726398455655083e-7,1.8997671729563166e-6,1.345163761026501e-5,1.4880815158339187e-6,6338,Carc,0,50,15,0,0,5,female_Carc
17,female,3.4726398455655083e-7,1.8997671729563166e-6,1.345163761026501e-5,1.4880815158339187e-6,6338,Carc,0,50,15,0,0,5,female_Carc
18,female,3.4726398455655083e-7,1.8997671729563166e-6,1.345163761026501e-5,1.4880815158339187e-6,6338,Carc,0,50,15,0,0,5,female_Carc
19,female,3.4726398455655083e-7,1.8997671729563166e-6,1.345163761026501e-5,1.4880815158339187e-6,6338,Carc,0,50,15,0,0,5,female_Carc
20,female,1.1804383912871255e-6,7.596502790409446e-6,5.480544058737377e-5,5.815655085273519e-6,7828,Carc,0,50,20,0,0,5,female_Carc
21,female,1.1804383912871255e-6,7.596502790409446e-6,5.480544058737377e-5,5.815655085273519e-6,7828,Carc,0,50,20,0,0,5,female_Carc
22,female,1.1804383912871255e-6,7.596502790409446e-6,5.480544058737377e-5,5.815655085273519e-6,7828,Carc,0,50,20,0,0,5,female_Carc
23,female,1.1804383912871255e-6,7.596502790409446e-6,5.480544058737377e-5,5.815655085273519e-6,7828,Carc,0,50,20,0,0,5,female_Carc
24,female,1.1804383912871255e-6,7.596502790409446e-6,5.480544058737377e-5,5.815655085273519e-6,7828,Carc,0,50,20,0,0,5,female_Carc
25,female,3.2323195501964506e-6,1.8868315340820804e-5,1.35243391798145e-4,1.3707736663812503e-5,8833,Carc,0,50,25,0,0,5,female_Carc
26,female,3.2323195501964506e-6,1.8868315340820804e-5,1.35243391798145e-4,1.3707736663812503e-5,8833,Carc,0,50,25,0,0,5,female_Carc
27,female,3.2323195501964506e-6,1.8868315340820804e-5,1.35243391798145e-4,1.3707736663812503e-5,8833,Carc,0,50,25,0,0,5,female_Carc
28,female,3.2323195501964506e-6,1.8868315340820804e-5,1.35243391798145e-4,1.3707736663812503e-5,8833,Carc,0,50,25,0,0,5,female_Carc
29,female,3.2323195501964506e-6,1.8868315340820804e-5,1.35243391798145e-4,1.3707736663812503e-5,8833,Carc,0,50,25,0,0,5,female_Carc
30,female,7.804051582500978e-6,4.744159388921228e-5,3.4005082360685627e-4,3.176940003634e-5,7963,Carc,0,50,30,0,0,5,female_Carc
31,female,7.804051582500978e-6,4.744159388921228e-5,3.4005082360685627e-4,3.176940003634e-5,7963,Carc,0,50,30,0,0,5,female_Carc
32,female,7.804051582500978e-6,4.744159388921228e-5,3.4005082360685627e-4,3.176940003634e-5,7963,Carc,0,50,30,0,0,5,female_Carc
33,female,7.804051582500978e-6,4.744159388921228e-5,3.4005082360685627e-4,3.176940003634e-5,7963,Carc,0,50,30,0,0,5,female_Carc
34,female,7.804051582500978e-6,4.744159388921228e-5,3.4005082360685627e-4,3.176940003634e-5,7963,Carc,0,50,30,0,0,5,female_Carc
35,female,1.6006952225691075e-5,8.944540854456255e-5,6.440333458861805e-4,5.693610488285804e-5,7482,Carc,0,50,35,0,0,5,female_Carc
36,female,1.6006952225691075e-5,8.944540854456255e-5,6.440333458861805e-4,5.693610488285804e-5,7482,Carc,0,50,35,0,0,5,female_Carc
37,female,1.6006952225691075e-5,8.944540854456255e-5,6.440333458861805e-4,5.693610488285804e-5,7482,Carc,0,50,35,0,0,5,female_Carc
38,female,1.6006952225691075e-5,8.944540854456255e-5,6.440333458861805e-4,5.693610488285804e-5,7482,Carc,0,50,35,0,0,5,female_Carc
39,female,1.6006952225691075e-5,8.944540854456255e-5,6.440333458861805e-4,5.693610488285804e-5,7482,Carc,0,50,35,0,0,5,female_Carc
40,female,2.8209051329305414e-5,1.5362032397819473e-4,0.0011086084618790368,9.563919328701168e-5,6901,Carc,0,50,40,0,0,5,female_Carc
41,female,2.8209051329305414e-5,1.5362032397819473e-4,0.0011086084618790368,9.563919328701168e-5,6901,Carc,0,50,40,0,0,5,female_Carc
42,female,2.8209051329305414e-5,1.5362032397819473e-4,0.0011086084618790368,9.563919328701168e-5,6901,Carc,0,50,40,0,0,5,female_Carc
43,female,2.8209051329305414e-5,1.5362032397819473e-4,0.0011086084618790368,9.563919328701168e-5,6901,Carc,0,50,40,0,0,5,female_Carc
44,female,2.8209051329305414e-5,1.5362032397819473e-4,0.0011086084618790368,9.563919328701168e-5,6901,Carc,0,50,40,0,0,5,female_Carc
45,female,5.891657047408581e-5,2.5691152141112475e-4,0.0018060507041151692,1.536954940003819e-4,7531,Carc,0,50,45,0,0,5,female_Carc
46,female,5.891657047408581e-5,2.5691152141112475e-4,0.0018060507041151692,1.536954940003819e-4,7531,Carc,0,50,45,0,0,5,female_Carc
47,female,5.891657047408581e-5,2.5691152141112475e-4,0.0018060507041151692,1.536954940003819e-4,7531,Carc,0,50,45,0,0,5,female_Carc
48,female,5.891657047408581e-5,2.5691152141112475e-4,0.0018060507041151692,1.536954940003819e-4,7531,Carc,0,50,45,0,0,5,female_Carc
49,female,5.891657047408581e-5,2.5691152141112475e-4,0.0018060507041151692,1.536954940003819e-4,7531,Carc,0,50,45,0,0,5,female_Carc
