age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_tbalc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,0,1e-8,0,0,6598,Tbalc,0,10,0,0,0,5,female_Tbalc
1,female,0,1e-8,0,0,6598,Tbalc,0,10,0,0,0,5,female_Tbalc
2,female,0,1e-8,0,0,6598,Tbalc,0,10,0,0,0,5,female_Tbalc
3,female,0,1e-8,0,0,6598,Tbalc,0,10,0,0,0,5,female_Tbalc
4,female,0,1e-8,0,0,6598,Tbalc,0,10,0,0,0,5,female_Tbalc
5,female,0,1e-8,0,0,6603,Tbalc,0,10,5,0,0,5,female_Tbalc
6,female,0,1e-8,0,0,6603,Tbalc,0,10,5,0,0,5,female_Tbalc
7,female,0,1e-8,0,0,6603,Tbalc,0,10,5,0,0,5,female_Tbalc
8,female,0,1e-8,0,0,6603,Tbalc,0,10,5,0,0,5,female_Tbalc
9,female,0,1e-8,0,0,6603,Tbalc,0,10,5,0,0,5,female_Tbalc
10,female,0,1e-8,0,0,6051,Tbalc,0,50,10,0,0,5,female_Tbalc
11,female,0,1e-8,0,0,6051,Tbalc,0,50,10,0,0,5,female_Tbalc
12,female,0,1e-8,0,0,6051,Tbalc,0,50,10,0,0,5,female_Tbalc
13,female,0,1e-8,0,0,6051,Tbalc,0,50,10,0,0,5,female_Tbalc
14,female,0,1e-8,0,0,6051,Tbalc,0,50,10,0,0,5,female_Tbalc
15,female,3.69781401783682e-7,5.674358112307093e-7,9.6298851537101e-7,1.6200288423539557e-7,6338,Tbalc,0,50,15,0,0,5,female_Tbalc
16,female,3.69781401783682e-7,5.674358112307093e-7,9.6298851537101e-7,1.6200288423539557e-7,6338,Tbalc,0,50,15,0,0,5,female_Tbalc
17,female,3.69781401783682e-7,5.674358112307093e-7,9.6298851537101e-7,1.6200288423539557e-7,6338,Tbalc,0,50,15,0,0,5,female_Tbalc
18,female,3.69781401783682e-7,5.674358112307093e-7,9.6298851537101e-7,1.6200288423539557e-7,6338,Tbalc,0,50,15,0,0,5,female_Tbalc
19,female,3.69781401783682e-7,5.674358112307093e-7,9.6298851537101e-7,1.6200288423539557e-7,6338,Tbalc,0,50,15,0,0,5,female_Tbalc
20,female,5.347569143313408e-7,9.643628833518985e-7,1.803117804520074e-6,2.8349593747246846e-7,7828,Tbalc,0,50,20,0,0,5,female_Tbalc
21,female,5.347569143313408e-7,9.643628833518985e-7,1.803117804520074e-6,2.8349593747246846e-7,7828,Tbalc,0,50,20,0,0,5,female_Tbalc
22,female,5.347569143313408e-7,9.643628833518985e-7,1.803117804520074e-6,2.8349593747246846e-7,7828,Tbalc,0,50,20,0,0,5,female_Tbalc
23,female,5.347569143313408e-7,9.643628833518985e-7,1.803117804520074e-6,2.8349593747246846e-7,7828,Tbalc,0,50,20,0,0,5,female_Tbalc
24,female,5.347569143313408e-7,9.643628833518985e-7,1.803117804520074e-6,2.8349593747246846e-7,7828,Tbalc,0,50,20,0,0,5,female_Tbalc
25,female,1.2180344994791074e-6,2.5334820897004773e-6,6.012591937286879e-6,8.068137405348094e-7,8833,Tbalc,0,50,25,0,0,5,female_Tbalc
26,female,1.2180344994791074e-6,2.5334820897004773e-6,6.012591937286879e-6,8.068137405348094e-7,8833,Tbalc,0,50,25,0,0,5,female_Tbalc
27,female,1.2180344994791074e-6,2.5334820897004773e-6,6.012591937286879e-6,8.068137405348094e-7,8833,Tbalc,0,50,25,0,0,5,female_Tbalc
28,female,1.2180344994791074e-6,2.5334820897004773e-6,6.012591937286879e-6,8.068137405348094e-7,8833,Tbalc,0,50,25,0,0,5,female_Tbalc
29,female,1.2180344994791074e-6,2.5334820897004773e-6,6.012591937286879e-6,8.068137405348094e-7,8833,Tbalc,0,50,25,0,0,5,female_Tbalc
30,female,3.940033220247202e-6,7.3901223783332755e-6,1.5741354850281033e-5,2.266890191986293e-6,7963,Tbalc,0,50,30,0,0,5,female_Tbalc
31,female,3.940033220247202e-6,7.3901223783332755e-6,1.5741354850281033e-5,2.266890191986293e-6,7963,Tbalc,0,50,30,0,0,5,female_Tbalc
32,female,3.940033220247202e-6,7.3901223783332755e-6,1.5741354850281033e-5,2.266890191986293e-6,7963,Tbalc,0,50,30,0,0,5,female_Tbalc
33,female,3.940033220247202e-6,7.3901223783332755e-6,1.5741354850281033e-5,2.266890191986293e-6,7963,Tbalc,0,50,30,0,0,5,female_Tbalc
34,female,3.940033220247202e-6,7.3901223783332755e-6,1.5741354850281033e-5,2.266890191986293e-6,7963,Tbalc,0,50,30,0,0,5,female_Tbalc
35,female,1.0847021981914232e-5,1.780136193074834e-5,3.7148445098186895e-5,5.422562921430961e-6,7482,Tbalc,0,50,35,0,0,5,female_Tbalc
36,female,1.0847021981914232e-5,1.780136193074834e-5,3.7148445098186895e-5,5.422562921430961e-6,7482,Tbalc,0,50,35,0,0,5,female_Tbalc
37,female,1.0847021981914232e-5,1.780136193074834e-5,3.7148445098186895e-5,5.422562921430961e-6,7482,Tbalc,0,50,35,0,0,5,female_Tbalc
38,female,1.0847021981914232e-5,1.780136193074834e-5,3.7148445098186895e-5,5.422562921430961e-6,7482,Tbalc,0,50,35,0,0,5,female_Tbalc
39,female,1.0847021981914232e-5,1.780136193074834e-5,3.7148445098186895e-5,5.422562921430961e-6,7482,Tbalc,0,50,35,0,0,5,female_Tbalc
40,female,3.0407203817399924e-5,4.4195661401110834e-5,9.107599460260473e-5,1.3392967928328386e-5,6901,Tbalc,0,50,40,0,0,5,female_Tbalc
41,female,3.0407203817399924e-5,4.4195661401110834e-5,9.107599460260473e-5,1.3392967928328386e-5,6901,Tbalc,0,50,40,0,0,5,female_Tbalc
42,female,3.0407203817399924e-5,4.4195661401110834e-5,9.107599460260473e-5,1.3392967928328386e-5,6901,Tbalc,0,50,40,0,0,5,female_Tbalc
43,female,3.0407203817399924e-5,4.4195661401110834e-5,9.107599460260473e-5,1.3392967928328386e-5,6901,Tbalc,0,50,40,0,0,5,female_Tbalc
44,female,3.0407203817399924e-5,4.4195661401110834e-5,9.107599460260473e-5,1.3392967928328386e-5,6901,Tbalc,0,50,40,0,0,5,female_Tbalc
45,female,9.036940880065198e-5,1.23404454786315e-4,2.424275921678991e-4,3.62937183568809e-5,7531,Tbalc,0,50,45,0,1,5,female_Tbalc
46,female,9.036940880065198e-5,1.23404454786315e-4,2.424275921678991e-4,3.62937183568809e-5,7531,Tbalc,0,50,45,0,1,5,female_Tbalc
47,female,9.036940880065198e-5,1.23404454786315e-4,2.424275921678991e-4,3.62937183568809e-5,7531,Tbalc,0,50,45,0,1,5,female_Tbalc
48,female,9.036940880065198e-5,1.23404454786315e-4,2.424275921678991e-4,3.62937183568809e-5,7531,Tbalc,0,50,45,0,1,5,female_Tbalc
49,female,9.036940880065198e-5,1.23404454786315e-4,2.424275921678991e-4,3.62937183568809e-5,7531,Tbalc,0,50,45,0,1,5,female_Tbalc
50,female,1.9346368984601744e-4,2.928871355327378e-4,7.338389230979219e-4,9.104384777287354e-5,7629,Tbalc,0,50,50,0,1,5,female_Tbalc
51,female,1.9346368984601744e-4,2.928871355327378e-4,7.338389230979219e-4,9.104384777287354e-5,7629,Tbalc,0,50,50,0,1,5,female_Tbalc
52,female,1.9346368984601744e-4,2.928871355327378e-4,7.338389230979219e-4,9.104384777287354e-5,7629,Tbalc,0,50,50,0,1,5,female_Tbalc
53,female,1.9346368984601744e-4,2.928871355327378e-4,7.338389230979219e-4,9.104384777287354e-5,7629,Tbalc,0,50,50,0,1,5,female_Tbalc
54,female,1.9346368984601744e-4,2.928871355327378e-4,7.338389230979219e-4,9.104384777287354e-5,7629,Tbalc,0,50,50,0,1,5,female_Tbalc
55,female,4.0106396162724854e-4,6.329730596216621e-4,0.0017648689057902065,1.99245172517295e-4,6580,Tbalc,0,50,55,0,3,5,female_Tbalc
56,female,4.0106396162724854e-4,6.329730596216621e-4,0.0017648689057902065,1.99245172517295e-4,6580,Tbalc,0,50,55,0,3,5,female_Tbalc
57,female,4.0106396162724854e-4,6.329730596216621e-4,0.0017648689057902065,1.99245172517295e-4,6580,Tbalc,0,50,55,0,3,5,female_Tbalc
58,female,4.0106396162724854e-4,6.329730596216621e-4,0.0017648689057902065,1.99245172517295e-4,6580,Tbalc,0,50,55,0,3,5,female_Tbalc
59,female,4.0106396162724854e-4,6.329730596216621e-4,0.0017648689057902065,1.99245172517295e-4,6580,Tbalc,0,50,55,0,3,5,female_Tbalc
60,female,7.5449094100718e-4,0.0011545522122650147,0.0031086499289899156,3.523578949177401e-4,5725,Tbalc,0,50,60,0,4,5,female_Tbalc
61,female,7.5449094100718e-4,0.0011545522122650147,0.0031086499289899156,3.523578949177401e-4,5725,Tbalc,0,50,60,0,4,5,female_Tbalc
62,female,7.5449094100718e-4,0.0011545522122650147,0.0031086499289899156,3.523578949177401e-4,5725,Tbalc,0,50,60,0,4,5,female_Tbalc
63,female,7.5449094100718e-4,0.0011545522122650147,0.0031086499289899156,3.523578949177401e-4,5725,Tbalc,0,50,60,0,4,5,female_Tbalc
64,female,7.5449094100718e-4,0.0011545522122650147,0.0031086499289899156,3.523578949177401e-4,5725,Tbalc,0,50,60,0,4,5,female_Tbalc
65,female,0.0012546036049869843,0.0018960797928694697,0.004872219410480465,5.511081728856468e-4,5670,Tbalc,0,50,65,0,7,5,female_Tbalc
66,female,0.0012546036049869843,0.0018960797928694697,0.004872219410480465,5.511081728856468e-4,5670,Tbalc,0,50,65,0,7,5,female_Tbalc
67,female,0.0012546036049869843,0.0018960797928694697,0.004872219410480465,5.511081728856468e-4,5670,Tbalc,0,50,65,0,7,5,female_Tbalc
68,female,0.0012546036049869843,0.0018960797928694697,0.004872219410480465,5.511081728856468e-4,5670,Tbalc,0,50,65,0,7,5,female_Tbalc
69,female,0.0012546036049869843,0.0018960797928694697,0.004872219410480465,5.511081728856468e-4,5670,Tbalc,0,50,65,0,7,5,female_Tbalc
70,female,0.0016839767793177327,0.0023961265743112567,0.005497254551834391,6.59129404047852e-4,5104,Tbalc,0,50,70,0,9,5,female_Tbalc
71,female,0.0016839767793177327,0.0023961265743112567,0.005497254551834391,6.59129404047852e-4,5104,Tbalc,0,50,70,0,9,5,female_Tbalc
72,female,0.0016839767793177327,0.0023961265743112567,0.005497254551834391,6.59129404047852e-4,5104,Tbalc,0,50,70,0,9,5,female_Tbalc
73,female,0.0016839767793177327,0.0023961265743112567,0.005497254551834391,6.59129404047852e-4,5104,Tbalc,0,50,70,0,9,5,female_Tbalc
74,female,0.0016839767793177327,0.0023961265743112567,0.005497254551834391,6.59129404047852e-4,5104,Tbalc,0,50,70,0,9,5,female_Tbalc
75,female,0.002206932926305492,0.0030471364996935662,0.006188844125457704,7.928691061262414e-4,3792,Tbalc,0,50,75,0,8,5,female_Tbalc
76,female,0.002206932926305492,0.0030471364996935662,0.006188844125457704,7.928691061262414e-4,3792,Tbalc,0,50,75,0,8,5,female_Tbalc
77,female,0.002206932926305492,0.0030471364996935662,0.006188844125457704,7.928691061262414e-4,3792,Tbalc,0,50,75,0,8,5,female_Tbalc
78,female,0.002206932926305492,0.0030471364996935662,0.006188844125457704,7.928691061262414e-4,3792,Tbalc,0,50,75,0,8,5,female_Tbalc
79,female,0.002206932926305492,0.0030471364996935662,0.006188844125457704,7.928691061262414e-4,3792,Tbalc,0,50,75,0,8,5,female_Tbalc
80,female,0.0026374181144860095,0.0032049232574985205,0.0053218712782447854,7.626965971944522e-4,2983,Tbalc,0,20,80,0,8,5,female_Tbalc
81,female,0.0026374181144860095,0.0032049232574985205,0.0053218712782447854,7.626965971944522e-4,2983,Tbalc,0,20,80,0,8,5,female_Tbalc
82,female,0.0026374181144860095,0.0032049232574985205,0.0053218712782447854,7.626965971944522e-4,2983,Tbalc,0,20,80,0,8,5,female_Tbalc
83,female,0.0026374181144860095,0.0032049232574985205,0.0053218712782447854,7.626965971944522e-4,2983,Tbalc,0,20,80,0,8,5,female_Tbalc
84,female,0.0026374181144860095,0.0032049232574985205,0.0053218712782447854,7.626965971944522e-4,2983,Tbalc,0,20,80,0,8,5,female_Tbalc
85,female,0.0030329466916246706,0.0036857470381262865,0.0055279442810167185,8.333534841869508e-4,2001,Tbalc,0,20,85,0,6,5,female_Tbalc
86,female,0.0030329466916246706,0.0036857470381262865,0.0055279442810167185,8.333534841869508e-4,2001,Tbalc,0,20,85,0,6,5,female_Tbalc
87,female,0.0030329466916246706,0.0036857470381262865,0.0055279442810167185,8.333534841869508e-4,2001,Tbalc,0,20,85,0,6,5,female_Tbalc
88,female,0.0030329466916246706,0.0036857470381262865,0.0055279442810167185,8.333534841869508e-4,2001,Tbalc,0,20,85,0,6,5,female_Tbalc
89,female,0.0030329466916246706,0.0036857470381262865,0.0055279442810167185,8.333534841869508e-4,2001,Tbalc,0,20,85,0,6,5,female_Tbalc
90,female,0.003237318950063087,0.003933112119053956,0.005086416076453853,8.439835130918284e-4,1019,Tbalc,0,10,90,0,3,5,female_Tbalc
91,female,0.003237318950063087,0.003933112119053956,0.005086416076453853,8.439835130918284e-4,1019,Tbalc,0,10,90,0,3,5,female_Tbalc
92,female,0.003237318950063087,0.003933112119053956,0.005086416076453853,8.439835130918284e-4,1019,Tbalc,0,10,90,0,3,5,female_Tbalc
93,female,0.003237318950063087,0.003933112119053956,0.005086416076453853,8.439835130918284e-4,1019,Tbalc,0,10,90,0,3,5,female_Tbalc
94,female,0.003237318950063087,0.003933112119053956,0.005086416076453853,8.439835130918284e-4,1019,Tbalc,0,10,90,0,3,5,female_Tbalc
95,female,0.003769791483216674,0.004579707208962671,0.002683177906983503,8.040990017262477e-4,275,Tbalc,0,10,95,0,1,6,female_Tbalc
96,female,0.003769791483216674,0.004579707208962671,0.002683177906983503,8.040990017262477e-4,275,Tbalc,0,10,95,0,1,6,female_Tbalc
97,female,0.003769791483216674,0.004579707208962671,0.002683177906983503,8.040990017262477e-4,275,Tbalc,0,10,95,0,1,6,female_Tbalc
98,female,0.003769791483216674,0.004579707208962671,0.002683177906983503,8.040990017262477e-4,275,Tbalc,0,10,95,0,1,6,female_Tbalc
99,female,0.003769791483216674,0.004579707208962671,0.002683177906983503,8.040990017262477e-4,275,Tbalc,0,10,95,0,1,6,female_Tbalc
100,female,0.003769791483216674,0.004579707208962671,0.002683177906983503,8.040990017262477e-4,275,Tbalc,0,10,95,0,1,6,female_Tbalc
