age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_dmt2,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
0,male,0,1e-8,0,0,6980,dmt2,0,10,0,0,0,5
1,male,0,1e-8,0,0,6980,dmt2,0,10,0,0,0,5
2,male,0,1e-8,0,0,6980,dmt2,0,10,0,0,0,5
3,male,0,1e-8,0,0,6980,dmt2,0,10,0,0,0,5
4,male,0,1e-8,0,0,6980,dmt2,0,10,0,0,0,5
5,male,0,1e-8,0,0,6917,dmt2,0,10,5,0,0,5
6,male,0,1e-8,0,0,6917,dmt2,0,10,5,0,0,5
7,male,0,1e-8,0,0,6917,dmt2,0,10,5,0,0,5
8,male,0,1e-8,0,0,6917,dmt2,0,10,5,0,0,5
9,male,0,1e-8,0,0,6917,dmt2,0,10,5,0,0,5
10,male,8.224676557558e-4,7.177394632803159e-4,0,4.089039921395098e-5,6234,dmt2,0,50,10,0,0,5
11,male,8.224676557558e-4,7.177394632803159e-4,0,4.089039921395098e-5,6234,dmt2,0,50,10,0,0,5
12,male,8.224676557558e-4,7.177394632803159e-4,0,4.089039921395098e-5,6234,dmt2,0,50,10,0,0,5
13,male,8.224676557558e-4,7.177394632803159e-4,0,4.089039921395098e-5,6234,dmt2,0,50,10,0,0,5
14,male,8.224676557558e-4,7.177394632803159e-4,0,4.089039921395098e-5,6234,dmt2,0,50,10,0,0,5
15,male,0.009553000819509569,0.0029695108333949254,7.334523049327508e-8,5.008771055532702e-4,6436,dmt2,0,50,15,0,0,5
16,male,0.009553000819509569,0.0029695108333949254,7.334523049327508e-8,5.008771055532702e-4,6436,dmt2,0,50,15,0,0,5
17,male,0.009553000819509569,0.0029695108333949254,7.334523049327508e-8,5.008771055532702e-4,6436,dmt2,0,50,15,0,0,5
18,male,0.009553000819509569,0.0029695108333949254,7.334523049327508e-8,5.008771055532702e-4,6436,dmt2,0,50,15,0,0,5
19,male,0.009553000819509569,0.0029695108333949254,7.334523049327508e-8,5.008771055532702e-4,6436,dmt2,0,50,15,0,0,5
20,male,0.026737727271968943,0.003158153784582593,1.2924714178173748e-7,0.001495831699118045,7845,dmt2,0,50,20,1,0,5
21,male,0.026737727271968943,0.003158153784582593,1.2924714178173748e-7,0.001495831699118045,7845,dmt2,0,50,20,1,0,5
22,male,0.026737727271968943,0.003158153784582593,1.2924714178173748e-7,0.001495831699118045,7845,dmt2,0,50,20,1,0,5
23,male,0.026737727271968943,0.003158153784582593,1.2924714178173748e-7,0.001495831699118045,7845,dmt2,0,50,20,1,0,5
24,male,0.026737727271968943,0.003158153784582593,1.2924714178173748e-7,0.001495831699118045,7845,dmt2,0,50,20,1,0,5
25,male,0.036607733516132515,0.0012574137906125743,2.276239670033221e-7,0.0021581371137033845,9023,dmt2,0,50,25,2,0,5
26,male,0.036607733516132515,0.0012574137906125743,2.276239670033221e-7,0.0021581371137033845,9023,dmt2,0,50,25,2,0,5
27,male,0.036607733516132515,0.0012574137906125743,2.276239670033221e-7,0.0021581371137033845,9023,dmt2,0,50,25,2,0,5
28,male,0.036607733516132515,0.0012574137906125743,2.276239670033221e-7,0.0021581371137033845,9023,dmt2,0,50,25,2,0,5
29,male,0.036607733516132515,0.0012574137906125743,2.276239670033221e-7,0.0021581371137033845,9023,dmt2,0,50,25,2,0,5
30,male,0.040577780424863284,9.216180065139001e-4,9.70386787896508e-7,0.0025039367590013314,8448,dmt2,0,50,30,2,0,5
31,male,0.040577780424863284,9.216180065139001e-4,9.70386787896508e-7,0.0025039367590013314,8448,dmt2,0,50,30,2,0,5
32,male,0.040577780424863284,9.216180065139001e-4,9.70386787896508e-7,0.0025039367590013314,8448,dmt2,0,50,30,2,0,5
33,male,0.040577780424863284,9.216180065139001e-4,9.70386787896508e-7,0.0025039367590013314,8448,dmt2,0,50,30,2,0,5
34,male,0.040577780424863284,9.216180065139001e-4,9.70386787896508e-7,0.0025039367590013314,8448,dmt2,0,50,30,2,0,5
