age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_sc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
0,female,0,1e-8,0,0,6598,sc,0,10,0,0,0,5
1,female,0,1e-8,0,0,6598,sc,0,10,0,0,0,5
2,female,0,1e-8,0,0,6598,sc,0,10,0,0,0,5
3,female,0,1e-8,0,0,6598,sc,0,10,0,0,0,5
4,female,0,1e-8,0,0,6598,sc,0,10,0,0,0,5
5,female,0,1e-8,0,0,6603,sc,0,10,5,0,0,5
6,female,0,1e-8,0,0,6603,sc,0,10,5,0,0,5
7,female,0,1e-8,0,0,6603,sc,0,10,5,0,0,5
8,female,0,1e-8,0,0,6603,sc,0,10,5,0,0,5
9,female,0,1e-8,0,0,6603,sc,0,10,5,0,0,5
10,female,0,1e-8,0,0,6051,sc,0,50,10,0,0,5
11,female,0,1e-8,0,0,6051,sc,0,50,10,0,0,5
12,female,0,1e-8,0,0,6051,sc,0,50,10,0,0,5
13,female,0,1e-8,0,0,6051,sc,0,50,10,0,0,5
14,female,0,1e-8,0,0,6051,sc,0,50,10,0,0,5
15,female,1.948044605235807e-6,5.515351702447341e-7,1.7250242160419944e-7,2.0078089341278654e-7,6338,sc,0,50,15,0,0,5
16,female,1.948044605235807e-6,5.515351702447341e-7,1.7250242160419944e-7,2.0078089341278654e-7,6338,sc,0,50,15,0,0,5
17,female,1.948044605235807e-6,5.515351702447341e-7,1.7250242160419944e-7,2.0078089341278654e-7,6338,sc,0,50,15,0,0,5
18,female,1.948044605235807e-6,5.515351702447341e-7,1.7250242160419944e-7,2.0078089341278654e-7,6338,sc,0,50,15,0,0,5
19,female,1.948044605235807e-6,5.515351702447341e-7,1.7250242160419944e-7,2.0078089341278654e-7,6338,sc,0,50,15,0,0,5
20,female,5.133170989943382e-6,1.3765972610157525e-6,3.9216701407883554e-007,5.146428763421842e-7,7828,sc,0,50,20,0,0,5
21,female,5.133170989943382e-6,1.3765972610157525e-6,3.9216701407883554e-007,5.146428763421842e-7,7828,sc,0,50,20,0,0,5
22,female,5.133170989943382e-6,1.3765972610157525e-6,3.9216701407883554e-007,5.146428763421842e-7,7828,sc,0,50,20,0,0,5
23,female,5.133170989943382e-6,1.3765972610157525e-6,3.9216701407883554e-007,5.146428763421842e-7,7828,sc,0,50,20,0,0,5
24,female,5.133170989943382e-6,1.3765972610157525e-6,3.9216701407883554e-007,5.146428763421842e-7,7828,sc,0,50,20,0,0,5
25,female,1.7633918770634468e-5,4.723564712809576e-6,1.4039794974311864e-6,1.7673579542994824e-6,8833,sc,0,50,25,0,0,5
26,female,1.7633918770634468e-5,4.723564712809576e-6,1.4039794974311864e-6,1.7673579542994824e-6,8833,sc,0,50,25,0,0,5
27,female,1.7633918770634468e-5,4.723564712809576e-6,1.4039794974311864e-6,1.7673579542994824e-6,8833,sc,0,50,25,0,0,5
28,female,1.7633918770634468e-5,4.723564712809576e-6,1.4039794974311864e-6,1.7673579542994824e-6,8833,sc,0,50,25,0,0,5
29,female,1.7633918770634468e-5,4.723564712809576e-6,1.4039794974311864e-6,1.7673579542994824e-6,8833,sc,0,50,25,0,0,5
30,female,4.209600050901154e-5,1.0965633152187525e-5,3.3454756544868516e-6,4.163384379392937e-6,7963,sc,0,50,30,0,0,5
31,female,4.209600050901154e-5,1.0965633152187525e-5,3.3454756544868516e-6,4.163384379392937e-6,7963,sc,0,50,30,0,0,5
32,female,4.209600050901154e-5,1.0965633152187525e-5,3.3454756544868516e-6,4.163384379392937e-6,7963,sc,0,50,30,0,0,5
