age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_sc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
0,male,0,1e-8,0,0,6980,sc,0,10,0,0,0,5
1,male,0,1e-8,0,0,6980,sc,0,10,0,0,0,5
2,male,0,1e-8,0,0,6980,sc,0,10,0,0,0,5
3,male,0,1e-8,0,0,6980,sc,0,10,0,0,0,5
4,male,0,1e-8,0,0,6980,sc,0,10,0,0,0,5
5,male,0,1e-8,0,0,6917,sc,0,10,5,0,0,5
6,male,0,1e-8,0,0,6917,sc,0,10,5,0,0,5
7,male,0,1e-8,0,0,6917,sc,0,10,5,0,0,5
8,male,0,1e-8,0,0,6917,sc,0,10,5,0,0,5
9,male,0,1e-8,0,0,6917,sc,0,10,5,0,0,5
10,male,0,1e-8,0,0,6234,sc,0,50,10,0,0,5
11,male,0,1e-8,0,0,6234,sc,0,50,10,0,0,5
12,male,0,1e-8,0,0,6234,sc,0,50,10,0,0,5
13,male,0,1e-8,0,0,6234,sc,0,50,10,0,0,5
14,male,0,1e-8,0,0,6234,sc,0,50,10,0,0,5
15,male,3.4487289346424256e-6,7.7417978399716e-7,1.2582738512390485e-7,3.281507016360829e-7,6436,sc,0,50,15,0,0,5
16,male,3.4487289346424256e-6,7.7417978399716e-7,1.2582738512390485e-7,3.281507016360829e-7,6436,sc,0,50,15,0,0,5
17,male,3.4487289346424256e-6,7.7417978399716e-7,1.2582738512390485e-7,3.281507016360829e-7,6436,sc,0,50,15,0,0,5
18,male,3.4487289346424256e-6,7.7417978399716e-7,1.2582738512390485e-7,3.281507016360829e-7,6436,sc,0,50,15,0,0,5
19,male,3.4487289346424256e-6,7.7417978399716e-7,1.2582738512390485e-7,3.281507016360829e-7,6436,sc,0,50,15,0,0,5
20,male,7.797629592777594e-6,1.7741019513985102e-6,3.737138103004621e-7,7.463533667636951e-7,7845,sc,0,50,20,0,0,5
21,male,7.797629592777594e-6,1.7741019513985102e-6,3.737138103004621e-7,7.463533667636951e-7,7845,sc,0,50,20,0,0,5
22,male,7.797629592777594e-6,1.7741019513985102e-6,3.737138103004621e-7,7.463533667636951e-7,7845,sc,0,50,20,0,0,5
23,male,7.797629592777594e-6,1.7741019513985102e-6,3.737138103004621e-7,7.463533667636951e-7,7845,sc,0,50,20,0,0,5
24,male,7.797629592777594e-6,1.7741019513985102e-6,3.737138103004621e-7,7.463533667636951e-7,7845,sc,0,50,20,0,0,5
25,male,1.5953604878926885e-5,3.9958311958461416e-6,1.0865560353306524e-6,1.59952062855499e-6,9023,sc,0,50,25,0,0,5
26,male,1.5953604878926885e-5,3.9958311958461416e-6,1.0865560353306524e-6,1.59952062855499e-6,9023,sc,0,50,25,0,0,5
27,male,1.5953604878926885e-5,3.9958311958461416e-6,1.0865560353306524e-6,1.59952062855499e-6,9023,sc,0,50,25,0,0,5
28,male,1.5953604878926885e-5,3.9958311958461416e-6,1.0865560353306524e-6,1.59952062855499e-6,9023,sc,0,50,25,0,0,5
29,male,1.5953604878926885e-5,3.9958311958461416e-6,1.0865560353306524e-6,1.59952062855499e-6,9023,sc,0,50,25,0,0,5
30,male,4.1430859817164944e-5,1.0080896273756865e-5,2.886602626154011e-6,4.096866770985303e-6,8448,sc,0,50,30,0,0,5
31,male,4.1430859817164944e-5,1.0080896273756865e-5,2.886602626154011e-6,4.096866770985303e-6,8448,sc,0,50,30,0,0,5
32,male,4.1430859817164944e-5,1.0080896273756865e-5,2.886602626154011e-6,4.096866770985303e-6,8448,sc,0,50,30,0,0,5
33,male,4.1430859817164944e-5,1.0080896273756865e-5,2.886602626154011e-6,4.096866770985303e-6,8448,sc,0,50,30,0,0,5
34,male,4.1430859817164944e-5,1.0080896273756865e-5,2.886602626154011e-6,4.096866770985303e-6,8448,sc,0,50,30,0,0,5
35,male,9.472947171790207e-5,2.279961241494066e-5,6.444258381634826e-6,9.319160127953713e-6,7997,sc,0,50,35,0,0,5
36,male,9.472947171790207e-5,2.279961241494066e-5,6.444258381634826e-6,9.319160127953713e-6,7997,sc,0,50,35,0,0,5
37,male,9.472947171790207e-5,2.279961241494066e-5,6.444258381634826e-6,9.319160127953713e-6,7997,sc,0,50,35,0,0,5
38,male,9.472947171790207e-5,2.279961241494066e-5,6.444258381634826e-6,9.319160127953713e-6,7997,sc,0,50,35,0,0,5
39,male,9.472947171790207e-5,2.279961241494066e-5,6.444258381634826e-6,9.319160127953713e-6,7997,sc,0,50,35,0,0,5
40,male,2.1153149276371673e-4,5.113403409024647e-5,1.5870051229819183e-5,2.0424485558286286e-5,7179,sc,0,50,40,0,0,5
41,male,2.1153149276371673e-4,5.113403409024647e-5,1.5870051229819183e-5,2.0424485558286286e-5,7179,sc,0,50,40,0,0,5
42,male,2.1153149276371673e-4,5.113403409024647e-5,1.5870051229819183e-5,2.0424485558286286e-5,7179,sc,0,50,40,0,0,5
43,male,2.1153149276371673e-4,5.113403409024647e-5,1.5870051229819183e-5,2.0424485558286286e-5,7179,sc,0,50,40,0,0,5
44,male,2.1153149276371673e-4,5.113403409024647e-5,1.5870051229819183e-5,2.0424485558286286e-5,7179,sc,0,50,40,0,0,5
45,male,3.4675707690009594e-4,8.724666696999647e-5,3.0301915228274623e-5,3.425654837862983e-5,7628,sc,0,50,45,0,0,5
46,male,3.4675707690009594e-4,8.724666696999647e-5,3.0301915228274623e-5,3.425654837862983e-5,7628,sc,0,50,45,0,0,5
47,male,3.4675707690009594e-4,8.724666696999647e-5,3.0301915228274623e-5,3.425654837862983e-5,7628,sc,0,50,45,0,0,5
48,male,3.4675707690009594e-4,8.724666696999647e-5,3.0301915228274623e-5,3.425654837862983e-5,7628,sc,0,50,45,0,0,5
49,male,3.4675707690009594e-4,8.724666696999647e-5,3.0301915228274623e-5,3.425654837862983e-5,7628,sc,0,50,45,0,0,5
50,male,5.313906908293686e-4,1.3861859168936392e-4,5.250218965525607e-5,5.347954008949593e-5,7605,sc,0,50,50,0,0,5
51,male,5.313906908293686e-4,1.3861859168936392e-4,5.250218965525607e-5,5.347954008949593e-5,7605,sc,0,50,50,0,0,5
52,male,5.313906908293686e-4,1.3861859168936392e-4,5.250218965525607e-5,5.347954008949593e-5,7605,sc,0,50,50,0,0,5
53,male,5.313906908293686e-4,1.3861859168936392e-4,5.250218965525607e-5,5.347954008949593e-5,7605,sc,0,50,50,0,0,5
54,male,5.313906908293686e-4,1.3861859168936392e-4,5.250218965525607e-5,5.347954008949593e-5,7605,sc,0,50,50,0,0,5
55,male,8.062916911198825e-4,2.1649474839613054e-4,8.855501633348251e-5,8.207944077062438e-5,6479,sc,0,50,55,0,1,5
56,male,8.062916911198825e-4,2.1649474839613054e-4,8.855501633348251e-5,8.207944077062438e-5,6479,sc,0,50,55,0,1,5
57,male,8.062916911198825e-4,2.1649474839613054e-4,8.855501633348251e-5,8.207944077062438e-5,6479,sc,0,50,55,0,1,5
58,male,8.062916911198825e-4,2.1649474839613054e-4,8.855501633348251e-5,8.207944077062438e-5,6479,sc,0,50,55,0,1,5
59,male,8.062916911198825e-4,2.1649474839613054e-4,8.855501633348251e-5,8.207944077062438e-5,6479,sc,0,50,55,0,1,5
60,male,0.001362713100366634,3.824748247863087e-4,1.6686952673950194e-4,1.3711431493683212e-4,5560,sc,0,50,60,0,1,5
61,male,0.001362713100366634,3.824748247863087e-4,1.6686952673950194e-4,1.3711431493683212e-4,5560,sc,0,50,60,0,1,5
62,male,0.001362713100366634,3.824748247863087e-4,1.6686952673950194e-4,1.3711431493683212e-4,5560,sc,0,50,60,0,1,5
63,male,0.001362713100366634,3.824748247863087e-4,1.6686952673950194e-4,1.3711431493683212e-4,5560,sc,0,50,60,0,1,5
64,male,0.001362713100366634,3.824748247863087e-4,1.6686952673950194e-4,1.3711431493683212e-4,5560,sc,0,50,60,0,1,5
65,male,0.0018867153626868011,5.564527060456363e-4,2.617045070503308e-4,1.862513771495204e-4,5418,sc,0,50,65,0,1,5
66,male,0.0018867153626868011,5.564527060456363e-4,2.617045070503308e-4,1.862513771495204e-4,5418,sc,0,50,65,0,1,5
67,male,0.0018867153626868011,5.564527060456363e-4,2.617045070503308e-4,1.862513771495204e-4,5418,sc,0,50,65,0,1,5
68,male,0.0018867153626868011,5.564527060456363e-4,2.617045070503308e-4,1.862513771495204e-4,5418,sc,0,50,65,0,1,5
69,male,0.0018867153626868011,5.564527060456363e-4,2.617045070503308e-4,1.862513771495204e-4,5418,sc,0,50,65,0,1,5
70,male,0.0027398425909793815,8.628437083130794e-4,4.215697717453701e-4,2.782971209740412e-4,4800,sc,0,50,70,0,2,5
71,male,0.0027398425909793815,8.628437083130794e-4,4.215697717453701e-4,2.782971209740412e-4,4800,sc,0,50,70,0,2,5
72,male,0.0027398425909793815,8.628437083130794e-4,4.215697717453701e-4,2.782971209740412e-4,4800,sc,0,50,70,0,2,5
73,male,0.0027398425909793815,8.628437083130794e-4,4.215697717453701e-4,2.782971209740412e-4,4800,sc,0,50,70,0,2,5
74,male,0.0027398425909793815,8.628437083130794e-4,4.215697717453701e-4,2.782971209740412e-4,4800,sc,0,50,70,0,2,5
75,male,0.0037208922833479887,0.0013266807453843079,7.261363549913068e-4,3.9926177060332376e-4,3332,sc,0,50,75,0,2,5
76,male,0.0037208922833479887,0.0013266807453843079,7.261363549913068e-4,3.9926177060332376e-4,3332,sc,0,50,75,0,2,5
77,male,0.0037208922833479887,0.0013266807453843079,7.261363549913068e-4,3.9926177060332376e-4,3332,sc,0,50,75,0,2,5
78,male,0.0037208922833479887,0.0013266807453843079,7.261363549913068e-4,3.9926177060332376e-4,3332,sc,0,50,75,0,2,5
79,male,0.0037208922833479887,0.0013266807453843079,7.261363549913068e-4,3.9926177060332376e-4,3332,sc,0,50,75,0,2,5
80,male,0.004220349916247825,0.0018214068333729547,0.0011857894547952312,4.904982110583402e-4,2291,sc,0,20,80,0,3,5
81,male,0.004220349916247825,0.0018214068333729547,0.0011857894547952312,4.904982110583402e-4,2291,sc,0,20,80,0,3,5
82,male,0.004220349916247825,0.0018214068333729547,0.0011857894547952312,4.904982110583402e-4,2291,sc,0,20,80,0,3,5
83,male,0.004220349916247825,0.0018214068333729547,0.0011857894547952312,4.904982110583402e-4,2291,sc,0,20,80,0,3,5
84,male,0.004220349916247825,0.0018214068333729547,0.0011857894547952312,4.904982110583402e-4,2291,sc,0,20,80,0,3,5
85,male,0.005902052542344949,0.002938835036932853,0.0019123907187811723,7.413985554520422e-4,1276,sc,0,20,85,0,2,5
86,male,0.005902052542344949,0.002938835036932853,0.0019123907187811723,7.413985554520422e-4,1276,sc,0,20,85,0,2,5
87,male,0.005902052542344949,0.002938835036932853,0.0019123907187811723,7.413985554520422e-4,1276,sc,0,20,85,0,2,5
88,male,0.005902052542344949,0.002938835036932853,0.0019123907187811723,7.413985554520422e-4,1276,sc,0,20,85,0,2,5
89,male,0.005902052542344949,0.002938835036932853,0.0019123907187811723,7.413985554520422e-4,1276,sc,0,20,85,0,2,5
90,male,0.0064178447192864896,0.0038785794310892976,0.002522411371117193,9.088000355323762e-4,506,sc,0,10,90,0,1,5
91,male,0.0064178447192864896,0.0038785794310892976,0.002522411371117193,9.088000355323762e-4,506,sc,0,10,90,0,1,5
92,male,0.0064178447192864896,0.0038785794310892976,0.002522411371117193,9.088000355323762e-4,506,sc,0,10,90,0,1,5
93,male,0.0064178447192864896,0.0038785794310892976,0.002522411371117193,9.088000355323762e-4,506,sc,0,10,90,0,1,5
94,male,0.0064178447192864896,0.0038785794310892976,0.002522411371117193,9.088000355323762e-4,506,sc,0,10,90,0,1,5
95,male,0.0032085058104598554,0.005205469852393054,0.0033865692066884384,9.145092211006651e-4,91,sc,0,10,95,0,0,6
96,male,0.0032085058104598554,0.005205469852393054,0.0033865692066884384,9.145092211006651e-4,91,sc,0,10,95,0,0,6
97,male,0.0032085058104598554,0.005205469852393054,0.0033865692066884384,9.145092211006651e-4,91,sc,0,10,95,0,0,6
98,male,0.0032085058104598554,0.005205469852393054,0.0033865692066884384,9.145092211006651e-4,91,sc,0,10,95,0,0,6
99,male,0.0032085058104598554,0.005205469852393054,0.0033865692066884384,9.145092211006651e-4,91,sc,0,10,95,0,0,6
100,male,0.0032085058104598554,0.005205469852393054,0.0033865692066884384,9.145092211006651e-4,91,sc,0,10,95,0,0,6
