location_id,location_name
4624,Greater London
44708,Dudley
44709,Coventry
44667,Oldham
44670,Halton
44668,Rochdale
44669,Wigan
44682,Calderdale
44644,Northumberland
44657,Trafford
44784,Bath and North East Somerset
44656,Stockport
44684,Bradford
44685,Kirklees
44686,Leeds
44646,Newcastle upon Tyne
44647,North Tyneside
44659,Sefton
44664,Bury
44662,Bolton
44663,Wirral
44665,St Helens
44675,Knowsley
44714,Birmingham
44715,Sandwell
44677,Manchester
44713,Wolverhampton
44712,Walsall
44789,"Bristol, City of"
44671,Liverpool
44673,Salford
44688,Wakefield
44672,Tameside
44650,Gateshead
44649,County Durham
44687,Sheffield
44689,Rotherham
44778,South Gloucestershire
44700,Nottingham
44692,Barnsley
44690,Doncaster
44652,South Tyneside
44704,Solihull
44781,North Somerset
